phi0, phi, rho, Z_fit_curve, F_ex_fit_per_V, mu_kT, PV_NkT, alpha
9.144288577154307E-4, 0.26476762999949904, 2.1830380921692935E-4, 1.8217413135651026, 1.1983824610702566E-4, -7.123665932886929, 1.3953172708213726, 6.622094363397577
9.208416833667334E-4, 0.2666245721262652, 2.1983475856931633E-4, 1.8345586841487054, 1.2195987256031426E-4, -6.991828401135256, 1.5169793121671027, 6.6222091193291925
9.27254509018036E-4, 0.26848151425303135, 2.213657079217033E-4, 1.8474746163213684, 1.241102829524555E-4, -6.858888651871806, 1.6389686249604092, 6.6223238752608085
9.336673346693386E-4, 0.2703384563797975, 2.2289665727409026E-4, 1.8604878172906365, 1.262897037208854E-4, -6.725022045662022, 1.7611188495158716, 6.622438631192425
9.400801603206412E-4, 0.27219539850656366, 2.2442760662647724E-4, 1.8735969769022196, 1.2849835930017024E-4, -6.590401797077817, 1.8832667155634735, 6.622553387124041
9.464929859719437E-4, 0.2740523406333298, 2.259585559788642E-4, 1.8868007682651768, 1.3073647208243603E-4, -6.4551987917880975, 2.005252178033281, 6.622668143055657
9.529058116232464E-4, 0.2759092827600959, 2.2748950533125117E-4, 1.9000978483770934, 1.330042623789469E-4, -6.31958141094342, 2.126918546242767, 6.622782898987274
9.593186372745489E-4, 0.27776622488686203, 2.2902045468363812E-4, 1.913486858749263, 1.3530194838283106E-4, -6.183715362776948, 2.2481126065824104, 6.62289765491889
9.657314629258516E-4, 0.2796231670136282, 2.305514040360251E-4, 1.9269664260318704, 1.3762974613295664E-4, -6.047763521327103, 2.368684738804292, 6.623012410850506
9.721442885771541E-4, 0.28148010914039434, 2.3208235338841206E-4, 1.940535162639165, 1.3998786947895444E-4, -5.911885772202797, 2.4884890260082293, 6.6231271667821225
9.785571142284567E-4, 0.28333705126716047, 2.3361330274079904E-4, 1.9541916673746478, 1.4237653004739112E-4, -5.7762388653004315, 2.6073833584301, 6.6232419227137385
