phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.1567839196e-03, 7.4048037331e-01, 7.2029752662e-04, 3.0523918827e+01, 2.9124995552e+01
2.1678391960e-03, 7.4426167515e-01, 8.0177824471e-04, 3.1223079047e+01, 2.9673849352e+01
2.1788944724e-03, 7.4804297699e-01, 8.8511776842e-04, 3.1932517885e+01, 3.0230933579e+01
2.1899497487e-03, 7.5182427882e-01, 9.7034333899e-04, 3.2652321250e+01, 3.0796313058e+01
2.2010050251e-03, 7.5560370211e-01, 1.0574824244e-03, 3.3382575049e+01, 3.1370052601e+01
2.2120603015e-03, 7.5936433983e-01, 1.1465627194e-03, 3.4123365193e+01, 3.1952217017e+01
2.2231155779e-03, 7.6312497755e-01, 1.2376121453e-03, 3.4874777589e+01, 3.2542871104e+01
2.2341708543e-03, 7.6688561527e-01, 1.3306588504e-03, 3.5636898147e+01, 3.3142079656e+01
2.2452261307e-03, 7.7064625299e-01, 1.4257312096e-03, 3.6409812775e+01, 3.3749907456e+01
2.2562814070e-03, 7.7440689071e-01, 1.5228578246e-03, 3.7193607381e+01, 3.4366419284e+01
2.2673366834e-03, 7.7816752843e-01, 1.6220675236e-03, 3.7988367876e+01, 3.4991679910e+01
2.2783919598e-03, 7.8192816615e-01, 1.7233893619e-03, 3.8794180167e+01, 3.5625754100e+01
2.2894472362e-03, 7.8568880387e-01, 1.8268526212e-03, 3.9611130164e+01, 3.6268706611e+01
2.3005025126e-03, 7.8944862798e-01, 1.9324868102e-03, 4.0439303774e+01, 3.6920602196e+01
2.3115577889e-03, 7.9319136634e-01, 2.0403216643e-03, 4.1278786908e+01, 3.7581505601e+01
2.3226130653e-03, 7.9693410469e-01, 2.1503871453e-03, 4.2129665473e+01, 3.8251481566e+01
2.3336683417e-03, 8.0067684304e-01, 2.2627134422e-03, 4.2992025378e+01, 3.8930594825e+01
2.3447236181e-03, 8.0441958140e-01, 2.3773309705e-03, 4.3865952532e+01, 3.9618910106e+01
2.3557788945e-03, 8.0816231975e-01, 2.4942703724e-03, 4.4751532844e+01, 4.0316492132e+01
2.3668341709e-03, 8.1190505811e-01, 2.6135625169e-03, 4.5648852222e+01, 4.1023405621e+01
2.3778894472e-03, 8.1564779646e-01, 2.7352384998e-03, 4.6557996576e+01, 4.1739715285e+01
2.3889447236e-03, 8.1939053481e-01, 2.8593296435e-03, 4.7479051814e+01, 4.2465485830e+01
2.4000000000e-03, 8.2313327317e-01, 2.9858674973e-03, 4.8412103845e+01, 4.3200781959e+01
