Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 31.97556621807948
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	phi, 	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter, 		kT/E
0.0026, 0.8896803532640036-473.09285477028135, -202.20978888404062, 20.911849061448734, -515.8205708034542, 313.61078191941357, -0.17257563190432496, 1.6744852096749585, -7.989969144634245E-4, 0.012194788209479628, 7.176930312500002, 0.8938343571352788, 0.34705826179458726, 1.698071733061569, 0.07142619693346772, 0.005714623087265449
0.0027, 0.9210892325302451-62.499297226111764, 208.4565674487875, 26.70485964772699, -407.90047269575416, 616.3570401445417, -0.17958175080832697, 1.6823672823088656, -6.14892720463076E-4, 0.02263063970601453, 7.242181562499997, 0.9282126016404818, 0.5836649602872243, 2.134103003742729, 0.06451954955156969, 0.005714533838089819
0.0028, 0.949208121742536-846.3781679172682, -584.8435606802806, 34.0464318586813, -1552.0687729138206, 967.22521223354, -0.17555975353231654, 1.6797919683569313, -4.7938217848333644E-4, 0.04330001278595471, 7.333079999999996, 0.9625908461456847, 0.9427370904125166, 2.5098387909185447, 0.0602200147144111, 0.005714316358957057
0.0029, 0.9670530296757808-4335.24059810265, -4004.9820499288253, 41.45232000008536, -4784.237841715396, 779.2557917865707, -0.21999333155305562, 1.7261691953627931, -5.965095688841818E-4, 0.07190509984517679, 7.4209209375, 0.9969690906508877, 1.3894487719245878, 2.2706293208393857, 0.06405759642021978, 0.005714478544685818
0.003, 0.973322476968297-9789.451853263994, -9137.197623836984, 45.75574064997344, -7533.374136092335, -1603.8234877446496, -0.38255224473652705, 1.8904607826037672, -0.0011172510012953856, 0.0854657085478168, 7.446163437499997, 1.0313473351560907, 1.725941519259477, 1.4031614107230606, 0.08241337426044164, 0.005714330189631263
0.0031, 0.6984295488174282-7006.878451143586, -5966.38194442327, 4.159662138974475, -4190.90111599438, -1775.4808284288897, -0.6874052273351798, 2.187756482595588, -0.00631035541630668, 0.00102588297193114, 7.075357500000001, 1.0657255796612937, 0.8292072001947615, 0.011605476335040311, 0.9161505357936519, 0.00571481613497338
0.0032, 0.6589341228695516-1239.2707789277652, -292.82817538755825, 3.203593653425373, -285.1916919449122, -7.636483442646057, -0.7171060470796027, 2.2173472367797338, -0.0068556950556843774, 7.589294832005546E-4, 7.024589375000001, 1.1001038241664967, 0.981072856372543, 0.008524240466681994, 1.0803552174457618, 0.005714295382874012
0.0033, 0.6665641125870583-1221.5818116711566, -277.10402650400925, 2.9523656320834184, -280.7692441231215, 3.665217619112217, -0.746576048423889, 2.2467871728744315, -0.007109014026667774, 7.087008383102145E-4, 7.027471562500003, 1.1344820686716997, 1.157012928388866, 0.00823271958258039, 1.1106504892925444, 0.005714299553539434
0.0034, 0.6169740662241271-1231.0626876772415, -277.2143123493034, 3.788639899255026, -281.87234814541864, 4.658035796115285, -0.7754322821951879, 2.275763685658087, -0.007135003597773506, 9.768822996355146E-4, 7.021375625000004, 1.1688603131769026, 1.3748929551654416, 0.009660857414196242, 1.0355305041582732, 0.005714399017714571
0.0035, 0.6713983426762676-1249.4264629725194, -282.27738701394594, 3.7200469603357864, -278.033246279689, -4.244140734256937, -0.8053549620238372, 2.3056824892214074, -0.007457961630198449, 9.885693296098784E-4, 7.025190000000005, 1.2032385576821056, 1.5768950900749141, 0.008796073959680996, 1.0957782411778703, 0.005714319722299176
0.0036, 0.65983744794228-1283.3998595851062, -314.2167468216821, 3.1845969289566023, -312.3527627408741, -1.8639840808079924, -0.8350880014787577, 2.335352344710473, -0.007718856133235263, 8.307291825028247E-4, 7.019246562500004, 1.2376168021873086, 1.7744801622474697, 0.008460574743464611, 1.1278343756896725, 0.005714751568732132
0.0037, 0.528084518230933-1328.9273124390204, -350.1762312170957, 3.4595691846235113, -353.5415798355788, 3.3653486184831163, -0.8666327915087614, 2.3669366329686614, -0.007768094058249294, 9.457222667684769E-4, 7.024656875000002, 1.2719950466925116, 2.0042286817565222, 0.009616811577812953, 1.0675693950846776, 0.005714520929662683
0.0038, 0.6227910769767322-1333.38125103579, -340.9393237184105, 3.7167072139127963, -345.5866281799334, 4.647304461522928, -0.898539606714107, 2.3988862491183474, -0.00802565914202842, 0.0010425328653885712, 7.022699687500001, 1.3063732911977146, 2.2368170724940226, 0.009270322892982448, 1.0970460601256664, 0.00571432673806325
0.0039, 0.599117999853062-1336.656201360647, -336.9301384201487, 3.8409988721691164, -334.9319087478704, -1.9982296722782646, -0.9302970566472818, 2.430693741310984, -0.008284550462139243, 0.0012224848607097197, 7.030511875000001, 1.3407515357029176, 2.4802985717807786, 0.008944248028205606, 1.1265765642865093, 0.005714444944186261
