Starting dry volume fraction: 0.0015
Maximum dry volume fraction: 0.0032
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.093970786780424
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 4.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00161, 0.40338598552356175, -17.70507167627691, -19.320300684846906, -7.596243693544772, 1.88323537779671, -5.713008315748063, 11.724056991302044, -20.051803745353087, 0.7315030605061822, -0.003885420910696745, -3.1910150380712776E-4, 1.5039300519171985, -0.0038050240781237043, 2.3870467123408658E-4, 6.621055514403291, 0.46619388466751743, 0.0, 0.004409619944273923, 1.1946824183598848, 0.004285776613086692
0.00162, 0.4068355580500396, -10.505522791096938, -1.7663157215250695, -0.3292897115545002, 1.9846270813278202, 1.65533736977332, 1.4370260099706889, -1.0581534261089427, -0.7081622954161269, -0.00393562264589459, -4.049883950701811E-4, 1.5039857531442429, -0.0037777872051604697, 2.4715295433606064E-4, 6.620745092592597, 0.4690894988579989, 0.0, 0.004817519726225426, 1.1453485785679176, 0.004285715918406981
0.00163, 0.4033805037624305, 3.614133083627293, 1.2196446188136418, 13.727828487320961, 1.8246368303946707, 15.552465317715631, 12.508183868507185, 0.7768338085475728, 0.442810810266069, -0.003935581087155774, -3.2915367098583514E-4, 1.503977315998236, -0.003844802132550408, 2.3837471638046912E-4, 6.620848209876548, 0.47198511304848034, 0.0, 0.004466755293108133, 1.1919120623363355, 0.004285749595433682
0.00164, 0.4127821432252962, -6.66125942534896, 14.840176319550034, 3.346798457081653, 1.9969610227269639, 5.343759479808617, -11.493377862468517, 14.01211563240972, 0.8280606871403139, -0.003918366431537053, -4.053179822019631E-4, 1.5039695725819233, -0.003765240512696175, 2.5219206336108443E-4, 6.621058518518521, 0.47488072723896185, 0.0, 0.005332948473585171, 1.0930550021193126, 0.004285894743456352
0.00165, 0.41549081753933975, -28.007758321487838, 14.030546921604953, -17.935910626622597, 1.8807436199272358, -16.05516700669536, -31.966457548227485, 16.464373422273848, -2.4338265006688946, -0.003967386258098627, -2.6719364922561347E-4, 1.5040131130785663, -0.003945596536767455, 2.454039278944408E-4, 6.621381759259263, 0.4777763414294433, 0.0, 0.004075491480254158, 1.2528980897755189, 0.004285714956528268
0.00166, 0.40974201995230397, -10.395193432215459, -26.812201681358452, -0.17027168907331192, 1.8104422838499112, 1.6401705947765994, 26.641929992285256, -29.969255444968642, 3.1570537636101905, -0.004052093626990692, -3.2994510064969626E-4, 1.5040943946000835, -0.003965694517221182, 2.4354599088018646E-4, 6.621392345679018, 0.4806719556199248, 0.0, 0.0041018208289373545, 1.2513883670723922, 0.004285714508486674
0.00167, 0.4201950491737936, -6.248916594363849, -6.367132254022236, 3.826803504541521, 2.063519751116239, 5.89032325565776, 10.193935758563791, -8.276540155176555, 1.9094079011543192, -0.004017019650672632, -4.1426154574762957E-4, 1.5040729720707215, -0.0038661701432287556, 2.6341203830375305E-4, 6.621376934156382, 0.4835675698104063, 0.0, 0.005051533278701363, 1.129895576328931, 0.004285769450394283
0.00168, 0.4180419348843319, -19.409288911527643, 12.189059355678811, -9.231700563013808, 1.94390080500977, -7.287799758004038, -21.420759918692482, 13.32236870381213, -1.133309348133319, -0.004081930005939551, -3.7442388508828167E-4, 1.5041314576684635, -0.003963323498096145, 2.558173772448759E-4, 6.621318899176956, 0.4864631840008878, 0.0, 0.0044615510268848, 1.2046787663207568, 0.004285868045475661
0.00169, 0.4127035615823906, -11.328910393992542, -5.228568715221411, -1.1427338594348402, 1.9546929359447272, 0.811959076509887, 4.0858348557866035, -6.053851351247172, 0.8252826360257607, -0.004109692178837682, -3.5510934796392747E-4, 1.5041607786003492, -0.004015629160600478, 2.610463297267238E-4, 6.620641851851851, 0.48935879819136924, 0.0, 0.0042527626091567175, 1.2363395382262883, 0.004285757123654132
0.0017, 0.42227839417182567, 8.626689797327428, 14.204193443629391, 18.817823111082195, 2.0221355500972438, 20.839958661179438, 4.613629667452802, 13.657273979286076, 0.5469194643433147, -0.004136021568611023, -4.0753137359781516E-4, 1.5041903356852233, -0.003991337312264465, 2.628471172512575E-4, 6.621438117283954, 0.49225441238185075, 0.0, 0.004605285065467464, 1.1904170593304313, 0.004285913069159818
0.00171, 0.4258239077332155, -4.572586359260912, 22.28413354585768, 5.393556650947259, 2.029084324755552, 7.4226409757028105, -16.89057689491041, 23.5057453078957, -1.2216117620380211, -0.00406850276912473, -2.946951548232261E-4, 1.5041239023661535, -0.0040405576111414146, 2.667499968399115E-4, 6.621613755144033, 0.4951500265723322, 0.0, 0.004413805587440362, 1.2183438177400296, 0.004285716704032488
0.00172, 0.4211271558833016, -3.800451099065983, 2.442252393083313, 6.325350273357452, 1.9031410095339973, 8.228491282891449, 3.883097880273935, 2.3624983755210702, 0.07975401756224258, -0.004157854060264751, -2.9874643385049016E-4, 1.5042069455067157, -0.004119241860155468, 2.6013423374120654E-4, 6.620677520576128, 0.4980456407628137, 0.0, 0.004032876625981747, 1.2770653101330058, 0.004285769497265484
0.00173, 0.42190772504833457, -2.305793258224713, -7.577408593495746, 7.589070076710134, 2.0452955781065922, 9.634365654816726, 15.166478670205779, -12.05445042558957, 4.477041832093824, -0.004086648586476591, -2.8688885173035113E-4, 1.5041430964548603, -0.004069915345641355, 2.7015561089511493E-4, 6.621369290123461, 0.5009412549532952, 0.0, 0.004544097005876761, 1.205413352453899, 0.0042857149256133485
0.00174, 0.4256716315069941, -16.966820361234838, -8.669547061922874, -6.930904139549322, 2.1542807627874114, -4.776623376761911, 1.7386429223736537, -10.180855946889968, 1.5113088849670944, -0.004168863412108584, -3.5961882911920393E-4, 1.5042325863240105, -0.004093878303123918, 2.846337201345371E-4, 6.621029537037038, 0.5038368691437767, 0.0, 0.004540715129775868, 1.208181129795287, 0.004285940541421562
0.00175, 0.4286360998740446, -0.09491642800000571, 2.4903999639320427, 9.8807692729497, 2.096375853352612, 11.977145126302311, 7.39036930901768, 0.5959758649313003, 1.8944240990007426, -0.0041676591863478735, -3.396324079559637E-4, 1.5042290615022957, -0.00410867000963003, 2.8064323123812074E-4, 6.621554927983536, 0.5067324833342581, 0.0, 0.004604895239077032, 1.202026104748487, 0.004285714336238462
0.00176, 0.43188042487161477, -8.592566724612736, -3.4513320889556693, 1.3303835903263561, 2.2226396672319177, 3.553023257558274, 4.781715679282047, -5.220008113827874, 1.768676024872205, -0.004169316604669489, -3.6065476720696784E-4, 1.5042376544249378, -0.00410554811760126, 2.968862801387384E-4, 6.621689310699585, 0.5096280975247396, 0.0, 0.004805130035803713, 1.178951874386592, 0.004285790790173014
0.00177, 0.43047103727710045, -19.720281366888354, -11.778899595620757, -9.760224128948106, 2.1940722700553237, -7.566151858892782, 2.0186754666726263, -9.484814814943396, -2.294084780677361, -0.004208685670389945, -3.686544604121808E-4, 1.5042748728732076, -0.00413249295490733, 2.924617449295661E-4, 6.6209086213991775, 0.5125237117152212, 0.0, 0.004777357489125066, 1.1846088665400483, 0.004285926359911131
0.00178, 0.43973661085273164, -17.30814058630047, -26.441799483918576, -7.275107899991165, 2.1687477445012213, -5.106360155489944, 19.1666915839272, -28.253961123756344, 1.8121616398377682, -0.0042634740124305875, -4.101070091935538E-4, 1.5043291981219071, -0.004142604487879352, 2.8923748464231757E-4, 6.6222551131687295, 0.5154193259057026, 0.0, 0.004878371490869822, 1.1744836988752283, 0.004285714872390084
0.00179, 0.43214794667035994, -8.111459766052914, 19.420944652921353, 1.9306989618131454, 2.3581678554152754, 4.288866817228421, -17.49024569110808, 20.642347246504503, -1.221402593583149, -0.00429132595429112, -5.081651315788658E-4, 1.5043675504078688, -0.004087524861499676, 3.0436403878742054E-4, 6.621615751028811, 0.5183149400961841, 0.0, 0.0055187681707289, 1.1063036927931957, 0.004285714833178884
0.0018, 0.42965899430654936, -7.72657917692476, 14.619077468151481, 2.2851026991594767, 2.0739568713630323, 4.3590595705225095, -12.333974768991878, 16.805707057601268, -2.1866295894497867, -0.004302203379954338, -3.17224883853742E-4, 1.5043632364550494, -0.004271784928451871, 2.8680643235127486E-4, 6.620958148148151, 0.5212105542866655, 0.0, 0.004285959783264271, 1.2577023808994126, 0.004285850730696707
0.00181, 0.4375607527104411, -4.229697539646066, -6.961677711222425, 5.786874673844951, 2.1737634938294064, 7.960638167674357, 12.748552385067365, -7.3199370555762435, 0.3582593443538188, -0.004328217652367075, -4.314485119994263E-4, 1.504395244762969, -0.004193879530056148, 2.9711038968849887E-4, 6.621582026748973, 0.5241061684771471, 0.0, 0.005020779499996363, 1.164175292051363, 0.004285826480386385
0.00182, 0.442056401187853, -2.251440355870528, 21.91371060448913, 7.6967032308023, 2.1063138988232293, 9.80301712962553, -14.21700737368675, 20.7123966524202, 1.2013139520689282, -0.004322398698090887, -3.5694239569215863E-4, 1.5043854895072466, -0.004257256284848251, 2.9179998244952264E-4, 6.62098369341564, 0.5270017826676285, 0.0, 0.004717522667524929, 1.20321866043991, 0.00428572514905661
0.00183, 0.44728187322166246, -18.974304650815156, 3.466708535482991, -9.042597266369173, 2.189900145712791, -6.852697120656382, -12.509305801852086, 4.905666061192904, -1.438957525709913, -0.004338967488218476, -3.364765465927503E-4, 1.5044084978139614, -0.004308543776138266, 3.060528345125408E-4, 6.621969290123457, 0.52989739685811, 0.0, 0.004518966797471388, 1.2316156964701481, 0.004285716617285392
0.00184, 0.45247920566376226, -1.025704615669023, -5.155943955382997, 9.020549417353177, 2.035448848722895, 11.055998266076072, 14.176493372736115, -9.081827210932754, 3.925883255549757, -0.00441299432939815, -3.3719690491527325E-4, 1.5044728731250467, -0.004364071730560367, 2.882743060774907E-4, 6.622899074074074, 0.5327930110485914, 0.0, 0.004302750078864449, 1.264476145881064, 0.00428575680622903
0.00185, 0.45502745111886905, -8.129845663726934, -14.781386240086386, 1.7055806097052455, 2.38385054284744, 4.089431152552685, 16.486966849791386, -21.10796777317662, 6.326581533090236, -0.004343864867010553, -3.835042611296222E-4, 1.504425705223192, -0.004288291568547552, 3.279309626666217E-4, 6.623053744855968, 0.535688625239073, 0.0, 0.005006884149291289, 1.1743148835635038, 0.004285912189891641
0.00186, 0.44557863772467204, -19.388262200985935, 5.1785583505305794, -9.362614709569057, 2.2713834504378947, -7.0912312591311615, -14.541173060099558, 13.817750031030592, -8.639191680500012, -0.004451811483116841, -4.4212601921925E-4, 1.5045275274943215, -0.0043317121712874345, 3.22026707389843E-4, 6.621414547325102, 0.5385842394295545, 0.0, 0.004855478882171473, 1.1946280480136697, 0.004285758853028992
0.00187, 0.44670192384314583, -0.562883748933852, 19.009037146731742, 9.37471189270746, 1.980972413841763, 11.355684306549222, -9.634325254024036, 24.657883158370357, -5.6488460116386126, -0.004436437000028013, -3.2228340775163224E-4, 1.504493446913983, -0.004404298105902536, 2.9014451362615576E-4, 6.621406090534978, 0.5414798536200359, 0.0, 0.004507620450924665, 1.2420849293297624, 0.0042857677016739275
0.00188, 0.4568255547638484, -6.981229867048558, -10.611695196008757, 2.9437499249801986, 2.0666887071409956, 5.010438632121194, 13.555445120988841, -18.68004549239035, 8.068350296381592, -0.004454499055047708, -3.2784018086046645E-4, 1.504517521864909, -0.004424817478489922, 2.981586043026809E-4, 6.622999855967075, 0.5443754678105174, 0.0, 0.004528014241259288, 1.2414897878520912, 0.00428575117254119
0.00189, 0.44639903493029387, -15.183065089246012, -3.142738035596584, -5.276753741515737, 2.3719021482692155, -2.9048515932465215, -2.1340157059192886, -5.602959483278215, 2.460221447681631, -0.0044697699172940595, -4.149617165690099E-4, 1.5045524545099649, -0.004386648149364961, 3.3183994863991164E-4, 6.622027654320991, 0.5472710820009989, 0.0, 0.004964309472120728, 1.187778896664595, 0.004285716907486258
0.0019, 0.45768312483759555, -12.356642336569482, 12.776684881653804, -2.376314278254227, 2.1697826532585816, -0.20653162499564548, -15.152999159907937, 18.85174564936622, -6.075060767712416, -0.004526992850854893, -3.589834710675492E-4, 1.5045981976117366, -0.004481426210073043, 3.134168302856992E-4, 6.622972602880654, 0.5501666961914804, 0.0, 0.004464113801925722, 1.2547619258532914, 0.004285716695931186
0.00191, 0.45530081402286793, 6.447743519041132, -2.2944933695924763, 16.37971278288491, 2.049281385899648, 18.428994168784556, 18.674206152477485, -5.769624425729365, 3.4751310561368887, -0.004528768538530568, -3.287300347684353E-4, 1.5045921427337219, -0.004506171298408415, 3.061327946462825E-4, 6.62142296296297, 0.5530623103819619, 0.0, 0.0044563417387752415, 1.2580550315879668, 0.004285821265032017
0.00192, 0.46547544539694113, -9.029587914509872, -9.88335360609414, 0.779614398207921, 2.3174637343026316, 3.0970781325105525, 10.66296800430189, -13.573231752036692, 3.689878145942552, -0.004496207143269569, -3.8997359779865314E-4, 1.5045769436655754, -0.004439448483322437, 3.332149378515213E-4, 6.624047613168724, 0.5559579245724433, 0.0, 0.005087983758959157, 1.1794294792169226, 0.004285728132586247
0.00193, 0.46499004963025564, -23.596574525643014, -4.022742998252353, -13.673956363864878, 2.2847271527273403, -11.389229211137538, -9.65121336561274, -7.968026689101868, 3.945283690849515, -0.004571881645050881, -3.9759966755755985E-4, 1.504650394784646, -0.004501503631465563, 3.272216539722413E-4, 6.622876090534982, 0.5588535387629248, 0.0, 0.004806602104750404, 1.2155638537701565, 0.004285761884568037
0.00194, 0.45953233191003146, -8.097710783355112, 11.689672653545069, 1.8536293872278873, 2.4733442633121423, 4.32697365054003, -9.836043266317104, 12.34537644587987, -0.6557037923348008, -0.004608872487543341, -4.321383266353011E-4, 1.5047005610297142, -0.004532177338767142, 3.554431778591017E-4, 6.621405113168723, 0.5617491529534063, 0.0, 0.004755394281732702, 1.2241982044703665, 0.004285756588599882
0.00195, 0.4568402903204929, -2.3187869875148284, 2.4975402357404075, 7.585114175510254, 2.1778097053560845, 9.762923880866339, 5.087573939770018, 7.982885366047518, -5.485345130307111, -0.004610545366017866, -3.4310987128200805E-4, 1.5046840507902948, -0.004595190756373815, 3.27755261637957E-4, 6.621369845679014, 0.5646447671438878, 0.0, 0.004490361031164164, 1.2619689441441762, 0.004285777222077811
0.00196, 0.4677149463814625, -6.426207857814989, -5.745874889466815, 3.447249117022419, 2.2461409940272006, 5.69339011104962, 9.1931240064893, -9.72921563997684, 3.983340750510025, -0.004619943879874545, -3.97541932253921E-4, 1.5046970131622148, -0.004555016124145179, 3.3261417652455464E-4, 6.622931995884777, 0.5675403813343692, 0.0, 0.0049212554235562155, 1.2075130445580298, 0.004285749579979276
0.00197, 0.4681136242369486, -14.999318635491598, 10.911237824672664, -5.130724003483875, 2.3707734175935657, -2.7599505858903095, -16.041961828156676, 7.409809853383621, 3.501427971289044, -0.004641228248395083, -3.9362000445640846E-4, 1.5047277985004746, -0.004597776578899957, 3.5016833496128276E-4, 6.622052993827163, 0.5704359955248507, 0.0, 0.004785556984454323, 1.2265923635063678, 0.004285746637994173
0.00198, 0.4687937059546601, -20.891434985276963, -6.258685591552725, -10.966201630028909, 2.3119685413857103, -8.654233088643199, -4.707516038476286, -1.1436972854558043, -5.114988306096921, -0.004691560350990011, -3.661588384650323E-4, 1.504775553555967, -0.004678288784611625, 3.528872720866453E-4, 6.6224555555555575, 0.5733316097153323, 0.0, 0.004411355536175066, 1.279715587406706, 0.00428572703047053
0.00199, 0.47123320837563504, 7.505037906785301, 9.584069528479093, 17.484414853901253, 2.177531960922657, 19.66194681482391, 7.900345325422264, 10.15709425106955, -0.5730247225904572, -0.004740977502780777, -4.027793308737501E-4, 1.5048149420702197, -0.004667508754584998, 3.293105826779709E-4, 6.623026512345683, 0.5762272239058137, 0.0, 0.004631522203232907, 1.251027656521841, 0.004285948513526015
0.002, 0.4765316562555492, 11.603684288414579, -11.388368916353105, 21.354614931042292, 2.330698098271779, 23.68531302931407, 32.74298384739539, -24.901183579185364, 13.512814662832259, -0.004655726434561303, -3.2171031921591066E-4, 1.5047405673779546, -0.00468747705001588, 3.534609346704873E-4, 6.623152427983541, 0.5791228380962952, 0.0, 0.0046541902964443395, 1.2500643143349608, 0.004285738820605381
0.00201, 0.47996094649183496, -38.61012500087413, -43.763685674133605, -28.8455048819724, 2.7611880580384143, -26.084316823933985, 14.918180792161332, -44.66625181467645, 0.9025661405428482, -0.004685573991403408, -5.248908277298918E-4, 1.5047986943461555, -0.004558047293158425, 3.973641294849077E-4, 6.624487273662546, 0.5820184522867766, 0.0, 0.0057667152481257295, 1.1248955344173286, 0.004285727535825839
0.00202, 0.4697084930495486, -13.808066027800528, 3.115051162101965, -3.7714007875664084, 2.396388238629054, -1.3750125489373546, -6.88645194966834, 4.724258967932608, -1.609207805830643, -0.004840076201979856, -5.401987564924737E-4, 1.5049298797059951, -0.004661601687975085, 3.617242424877036E-4, 6.621952541152264, 0.5849140664772582, 0.0, 0.005151142369315822, 1.1921835004759702, 0.004285740549606624
0.00203, 0.48073871062994605, 14.372381133035475, 17.29804006412143, 24.176838157443584, 2.6205786510351397, 26.797416808478722, 6.8787980933220965, 9.71060010213707, 7.587439961984362, -0.00475150265028932, -5.076826552536405E-4, 1.5048567058446327, -0.00463708215136123, 3.9326215632555E-4, 6.623164341563782, 0.5878096806677396, 0.0, 0.005502899642619614, 1.1553510858043416, 0.004286217771182848
0.00204, 0.48518115225083, -4.979288542852251, 31.27698810142694, 4.818072321173344, 2.638331890029143, 7.456404211202487, -26.458915780253594, 37.70152040673022, -6.424532305303277, -0.004771453136940157, -4.988358558523095E-4, 1.5048803301070823, -0.004674443384839642, 4.018261037517948E-4, 6.623898106995895, 0.5907052948582211, 0.0, 0.005393446938789885, 1.1689284918343867, 0.004286612543628082
0.00205, 0.5021208338332019, 1.1722715904136305, 23.368112534179158, 10.92965380036754, 2.327993110557725, 13.257646910925263, -12.438458733811604, 25.288267481118986, -1.9201549469398276, -0.004775277001829593, -3.325617028157033E-4, 1.5048619278106188, -0.0048092420447415725, 3.665267457276822E-4, 6.626531368312755, 0.5936009090487026, 0.0, 0.004624274710746557, 1.264466228094564, 0.004285742375533751
0.00206, 0.49680044874243184, -9.672237494397276, 7.106093222606788, 0.018622083662888096, 2.522333066319101, 2.5409551499819893, -7.087471138943832, 3.910071374985993, 3.1960218476207944, -0.0047658559523923415, -3.8133777711452007E-4, 1.50486768317533, -0.004780752085180407, 3.9623390990258607E-4, 6.625567119341558, 0.5964965232391841, 0.0, 0.004964785663038927, 1.2223153016585253, 0.004285820907613092
0.00207, 0.4848399353702877, -17.92034387008437, -40.33455984718313, -8.163784314387048, 2.4533888488806643, -5.710395465506384, 32.17077553279608, -51.67132694451707, 11.336767097333938, -0.004821458534069356, -3.175947957162439E-4, 1.5049183594008368, -0.004889497295503253, 3.856335571501412E-4, 6.624545452674897, 0.5993921374296656, 0.0, 0.004418795635275471, 1.297724739885652, 0.004286155495303511
0.00208, 0.4951064936564124, -11.262767812642005, -11.994414178353834, -1.4927785779277611, 3.051306737543683, 1.5585281596159217, 10.501635600426038, -12.741658225289635, 0.7472440469358006, -0.004851419291657256, -6.311187388455217E-4, 1.5049892149873438, -0.0046743894664693945, 4.540889136576609E-4, 6.624864753086424, 0.602287751620147, 0.0, 0.006106417300736624, 1.105704216049103, 0.004285723614485598
0.00209, 0.4759994379648581, 8.775351854553186, 30.298279673608278, 18.546324886393524, 2.456850966919613, 21.003175853313138, -11.751954787214729, 31.802433278694338, -1.5041536050860604, -0.004875234289177704, -3.8450018182049065E-4, 1.5049741830547032, -0.00488430173157473, 3.9356762421751654E-4, 6.622484207818931, 0.6051833658106285, 0.0, 0.004742314008904669, 1.2566992878533287, 0.0042857160617784705
0.0021, 0.4836809968998435, -4.314851563720644, -38.908334151795685, 5.278515374905338, 2.989332005759736, 8.267847380665074, 44.18684952670097, -52.29699187134378, 13.388657719548094, -0.0048095200729065726, -4.8295273266311944E-4, 1.5049430472591736, -0.0047772406468194785, 4.506733065760258E-4, 6.624221913580245, 0.60807898000111, 0.0, 0.005649461362199059, 1.1532248816042407, 0.004286196426049687
0.00211, 0.49611549784482833, -22.326397586694345, -6.901117834446555, -12.607141346021027, 3.0428664456346826, -9.564274900386344, -5.706023511574597, -4.066382629545895, -2.8347352049006593, -0.004895836187829922, -6.387994746102086E-4, 1.5050343637866965, -0.0047188225958894724, 4.617858826697583E-4, 6.624616306584362, 0.6109745941915915, 0.0, 0.006296264960707362, 1.094116953849532, 0.004285727732027917
0.00212, 0.4951093970645848, -6.26595816348343, 39.753772064596006, 3.4475317057847064, 2.8088836052538184, 6.256415311038525, -36.306240358811344, 51.78036410977712, -12.026592045181108, -0.004916120769027294, -5.084232508662964E-4, 1.5050411129602137, -0.004849213078501804, 4.4151556034080643E-4, 6.62457239711935, 0.613870208382073, 0.0, 0.005453740498562664, 1.1774500146653943, 0.004285757673419494
0.00213, 0.5050032229262597, -9.775201923650457, 5.041599565081069, -0.08837101703525888, 2.596436299218788, 2.508065282183529, -5.12997058211619, 11.155387573182365, -6.113788008101296, -0.0049257539342776845, -3.963628932780221E-4, 1.5050338102602032, -0.0049379194176285045, 4.085283766288417E-4, 6.626012139917696, 0.6167658225725544, 0.0, 0.004998591131246673, 1.2318197260037773, 0.0042857815803158325
0.00214, 0.4832000847723282, -9.347640831152784, -11.070900376199111, 0.3664257862871504, 2.635072524080769, 3.0014983103679196, 11.437326162486238, -25.170725836213254, 14.099825460014143, -0.004962793920203405, -4.58881915942735E-4, 1.5050737377777452, -0.0049200723243247105, 4.161603200640411E-4, 6.623085061728402, 0.619661436763036, 0.0, 0.005275998135539792, 1.2008719524464642, 0.00428686142690275
0.00215, 0.49491596854865544, 23.79986680036184, -6.1316466057205545, 33.48354245046111, 3.02931648437696, 36.51285893483807, 39.61518905618144, -32.207287889941746, 26.07564128422119, -0.004970385631613452, -5.208328724561967E-4, 1.5051128746480047, -0.0049292921921325695, 4.797394329753132E-4, 6.623628909465012, 0.6225570509535174, 0.0, 0.00537195885648887, 1.1919487290730342, 0.004285714963382295
