Starting dry volume fraction: 0.0022
Maximum dry volume fraction: 0.0028
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 54.465075645095865
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00247, 0.5038246363192393, 22.887911655183494, 1.5940974755053539, 32.487149509830175, 3.7534854732192238, -18.940568802096497, 20.53466627760185, -0.005660373602355289, 1.5058628881136227, -0.0054011482526546365, 5.670280387663798E-4, 6.336076419753089, 0.6261191313574742, 0.0, 0.007236129494704253, 1.0756151562324945, 0.0034285715460558334
0.00248, 0.5198332514102326, -10.140234307406674, 63.84551104283409, -0.7414398503592835, 3.5170929020839363, 84.23775763691594, -20.392246594081858, -0.005564616300630934, 1.5057505360168149, -0.005580621077177187, 5.423882196973054E-4, 6.339292006172845, 0.6286540266261279, 0.0, 0.006049257769654748, 1.17799634225226, 0.003428575938060065
0.00249, 0.5222095139598891, -18.887414372001956, -0.810433161678997, -9.283831164321064, 2.9588760613905647, 8.628671337582837, -9.439104499261834, -0.0057087896547793025, 1.505850996852026, -0.005754533236158106, 4.7403633192641593E-4, 6.338534403292177, 0.6311889218947817, 0.0, 0.005096316955969811, 1.2851367049229534, 0.0034285860521657534
0.0025, 0.5170278652590032, -1.7259721123030156, -86.45317659307005, 7.7487313040640124, 3.18089806754719, -116.66551678620408, 30.21234019313403, -0.005654797061416804, 1.505814902061284, -0.005667299722975582, 5.01127336253116E-4, 6.33717112139917, 0.6337238171634354, 0.0, 0.005771318661287352, 1.2092615278119365, 0.00342860436544975
0.00251, 0.5305033508227806, 18.941599683279026, -4.893519239162956, 28.482413081434988, 4.202890302877307, -22.30939058963143, 17.415871350468475, -0.005717030564578656, 1.5059532992134825, -0.005350090655226421, 6.222986491397777E-4, 6.340206810699595, 0.6362587124320892, 0.0, 0.008453197903533877, 1.0005185598623627, 0.0034286006341655816
0.00252, 0.5140382065803217, 23.82884622737479, 48.397911401100984, 33.07802342866527, 3.7429158701600107, 51.595865127961346, -3.1979537268603657, -0.005564357584826952, 1.5057712974618394, -0.005550571589125986, 5.892405516367288E-4, 6.336006234567901, 0.6387936077007429, 0.0, 0.006917972220981094, 1.1074442362789692, 0.0034286206801441266
0.00253, 0.5280344246897787, -46.53031798324193, -85.57971722750929, -37.25329636078186, 4.035120532364908, -102.4094089473946, 16.82969171988531, -0.005603256204620755, 1.5058300645348484, -0.005467289887648491, 6.117060571520856E-4, 6.339280473251028, 0.6413285029693967, 0.0, 0.007778934897685381, 1.0457419555922183, 0.0034287836728238404
0.00254, 0.529062280151172, -23.846629706674, 37.908466540279534, -14.303900215761868, 4.513696336280102, 54.298179073123556, -16.38971253284402, -0.005786523488147072, 1.5060512256140348, -0.005363049609145928, 6.744320314798583E-4, 6.339810092592593, 0.6438633982380504, 0.0, 0.008944600832302538, 0.976506602191041, 0.0034286385447228423
0.00255, 0.5251143206690624, 5.983835562958941, 18.79353617869639, 15.375128621373628, 3.3517644357701046, 17.719145271504452, 1.0743909071919364, -0.005717115474437731, 1.5058945608837395, -0.005758814312520909, 5.387614326252155E-4, 6.336724022633748, 0.6463982935067042, 0.0, 0.005911552020814046, 1.2027454688983565, 0.0034286754464194482
0.00256, 0.5234894143928959, -9.6793032082919, -80.43777156788934, -0.25787500686313175, 4.485233081692198, -117.826302368477, 37.38853080058767, -0.0057579527778922526, 1.5060223490855085, -0.0054245384740320415, 6.83787450054363E-4, 6.3396386111111145, 0.6489331887753579, 0.0, 0.008756491692561303, 0.989523271289192, 0.003428595278374973
0.00257, 0.5367353137860297, 35.730943562175426, 93.06485265457941, 45.124477944713675, 4.851277826313694, 111.76636117005822, -18.70150851547881, -0.005763330742976278, 1.5060557283981113, -0.005418362713120759, 7.226206068344785E-4, 6.338810493827151, 0.6514680840440117, 0.0, 0.00902306221483948, 0.9760644433391422, 0.0034285990670273147
0.00258, 0.5630090946943064, -67.39994112317116, -168.72024512226278, -58.328531307506765, 3.7622248912638274, -198.1504828906522, 29.430237768389407, -0.00558735008921452, 1.5057968209647188, -0.00569560314908934, 6.001178310169268E-4, 6.3448540534979365, 0.6540029793126654, 0.0, 0.0068203457817405866, 1.1241246360422645, 0.0034287156051482533
0.00259, 0.5863729754694713, -41.72306960689177, -144.36508705452235, -31.881609303576436, 6.004968826323462, -182.96672566115174, 38.60163860662938, -0.00608514175679194, 1.5064651309643458, -0.00493543306761667, 8.67791717560181E-4, 6.349307726337452, 0.6565378745813192, 0.0, 0.015977520553537575, 0.7353989228134996, 0.0034285979389011203
0.0026, 0.5452522760973995, -899.2953702369603, -1071.671738611401, -889.9727938075172, 5.398161890975525, -1115.3498822648373, 43.67814365343638, -0.005786563072281641, 1.5061206992076002, -0.00519664555634202, 7.911281732317811E-4, 6.3414783024691355, 0.6590727698499729, 0.0, 0.012288204953873037, 0.8396365200425256, 0.0034286660123892007
0.00261, 0.5371849855945072, 11.637915735832452, 87.86422851682855, 28.29511481258567, 7.646174243856133, 98.64605087542844, -10.781822358599898, -0.010378960860977992, 1.5108860068288736, -0.00410785870760033, 0.001082425092918402, 6.340808076131685, 0.6616076651186267, 0.0, 0.04069143125282045, 0.46199766446907414, 0.0034285780606494376
0.00262, 0.6161693505604751, 597.9850142661744, 666.3921516098046, 607.1475869386305, 4.952367489524106, 663.5714718946679, 2.820679715136712, -0.005730996117782301, 1.5060348234762486, -0.0055125449678937065, 7.479432086709472E-4, 6.352776481481477, 0.6641425603872804, 0.0, 0.009131670917923555, 0.9764943425111684, 0.0034287261874579034
0.00263, 0.5459232495808359, -4425.8281316678895, -5083.533113635541, -4413.845017863705, 7.502483459327025, -5197.734963918537, 114.20185028299608, -0.007523792733517815, 1.5080276934875216, -0.004432811163100796, 0.0011016023366472198, 6.3416876851851764, 0.6666774556559342, 0.0, 0.02970891554663151, 0.5420669683478149, 0.00342859890646229
0.00264, 0.5722818494949244, 398.2266137044637, 630.0716146856075, 440.8487739450671, 9.186712044794866, 674.7506500983218, -44.679035412714306, -0.026862768850685673, 1.527488451490344, -0.002348729435331035, 0.0013015940822352966, 6.344645462962959, 0.6692123509245879, 0.0, 0.27992218291622306, 0.17681824593450116, 0.003428594023976211
0.00265, 0.6708837020660133, 752.8312535225615, 805.5231766421763, 761.7184448549816, 5.761824364202408, 795.102544978115, 10.420631664061315, -0.005622400712263451, 1.5059973071209591, -0.005354077081406334, 8.981362177209354E-4, 6.362410442386836, 0.6717472461932417, 0.0, 0.011557869483964244, 0.8712728053970464, 0.003428771088633928
