Starting dry volume fraction: 0.0028
Maximum dry volume fraction: 0.0039
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 48.769606624490535
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00323, 0.8170362248466959, 88.61971718923924, 65.2463304656339, 83.7907126313474, 17.760578827291866, 101.55129145863927, 18.54438216571353, 10.71929236369471, 54.52703810193919, 0.003723672936440628, 2.9142486969047755E-4, 1.4977696913142469, -7.851611729092875E-4, 0.004217409239659438, 6.39394806584362, 0.8187711717751586, 0.10898555843292387, 1.7297623683877323, 0.07607676652736202, 0.003428592603802521
0.00324, 0.8195651255202504, 151.40523897710045, 141.1656169658679, 145.8748315748874, 18.170506931672705, 164.04533850656009, 4.709214609019513, 69.922165658884, 71.24345130698393, 0.004277731542318731, 6.198025877442952E-4, 1.4972690357420608, -7.934381345917531E-4, 0.004451367089166189, 6.396002901234566, 0.8213060670438123, 0.1173706923568526, 1.7209543113870764, 0.07634983336907251, 0.003429279303475447
0.00325, 0.8220122211230552, 98.1660583609843, 83.11345552913258, 92.43504620666653, 18.46495173991537, 110.89999794658189, 9.321590677533825, 17.769064056977573, 65.34439147215501, 0.004446579702237085, 6.291045604791865E-4, 1.4971327354613004, -7.675740956790189E-4, 0.004585049237436918, 6.396874814814808, 0.8238409623124661, 0.12517363977991786, 1.7637014486783418, 0.07549641772078224, 0.0034286095845420398
0.00326, 0.8244864637218514, 97.57155720819182, 80.60752004099912, 91.47283292893106, 18.8487952348347, 110.32162816376575, 10.865312887931873, 9.034362308946784, 71.57315773205234, 0.004746439945278675, 7.085150317877024E-4, 1.4968792988855635, -7.536543504739743E-4, 0.004791579263964946, 6.39846540123457, 0.8263758575811198, 0.1338391723179293, 1.7886706597799915, 0.07504442521806733, 0.003428850230412909
0.00327, 0.8269774420660309, 106.80039823930957, 86.06215265372916, 100.5076702131027, 19.167418530632876, 119.67508874373557, 14.445517559373615, 12.00614446465431, 74.05600818907484, 0.004912449571282807, 6.765871810401738E-4, 1.4967464892802995, -7.203196943703121E-4, 0.004956182084612945, 6.3994732201646105, 0.8289107528497736, 0.14244934789614502, 1.844447226742155, 0.07397651950762517, 0.00342876045632495
0.00328, 0.8294168439525618, 140.42133370743116, 122.63329223787811, 133.708574830853, 19.53600755474929, 153.24458238560229, 11.075282592974983, 44.593285122655345, 78.04000711522276, 0.005256374284397747, 7.699782968547265E-4, 1.4964488596489087, -6.89087709763142E-4, 0.005175483697306162, 6.401033858024693, 0.8314456481184272, 0.15185545158984584, 1.8981739753324818, 0.07299633142459694, 0.0034286758607338067
0.00329, 0.8319363377869818, 122.58709919588863, 109.37256805240258, 115.47899970657397, 19.888825884006025, 135.36782559058, 6.106431654171443, 32.46682063114721, 76.90574742125538, 0.0055829120525356345, 8.941994233344479E-4, 1.4961630928128544, -6.716408695737883E-4, 0.005360353498774975, 6.402851316872423, 0.833980543387081, 0.16112160438391274, 1.9301937945880423, 0.07246182518296639, 0.0034285714425002036
0.0033, 0.8343986613100979, 107.41286317763759, 83.2968475373291, 99.9978355718515, 20.267336719264637, 120.26517229111613, 16.700988034522304, -0.26097559744050874, 83.5578231347696, 0.0058416845682874126, 9.304318093083093E-4, 1.4959511614772194, -6.640145695100095E-4, 0.005575267328489113, 6.404362304526746, 0.8365154386557347, 0.17092610974375141, 1.946161584759094, 0.07223698743226789, 0.0034286415915936452
0.00331, 0.836907965181849, 134.01758077455833, 110.14201329877662, 126.30341020555599, 20.624633152478573, 146.92804335803456, 16.161396906779373, 18.965884880364825, 91.17612841841179, 0.006095770696326868, 8.98592337306152E-4, 1.4957367531333634, -5.959238562917068E-4, 0.005793102215312423, 6.40627513374486, 0.8390503339243885, 0.18111749140796482, 2.0658384156983085, 0.07018412941405021, 0.0034288940711569463
0.00332, 0.8393950027052903, 138.2089142800039, 120.87027143445675, 130.03122069127343, 21.036482612224376, 151.0677033034978, 9.16094925681663, 30.74025663849724, 90.13001479595951, 0.006481571381532062, 0.0010264168001234567, 1.495401823317756, -5.904503317368743E-4, 0.00604560491314548, 6.407709259259256, 0.8415852291930422, 0.19177415990532495, 2.0785962403257243, 0.07003880372922705, 0.003428765521151267
0.00333, 0.8418043808639594, 139.56934673110888, 119.0831882620221, 131.07142394762607, 21.40436850165439, 152.47579244928045, 11.988235685603957, 20.371516263908923, 98.71167199811318, 0.006755669652937668, 0.001051549484919744, 1.4951721069549329, -5.557404752718733E-4, 0.006259860643289797, 6.409141995884773, 0.844120124461696, 0.20242708391145423, 2.143755073009207, 0.06903535923403728, 0.0034288973973037435
0.00334, 0.8442952075421857, 152.55923007916036, 130.72923320496105, 143.5947601243078, 21.857302137040726, 165.45206226134854, 12.865526919346667, 16.667496638600728, 114.06173656636032, 0.007147965924622942, 0.0011299992379958386, 1.4948411322717132, -5.36548503319702E-4, 0.006554515189946805, 6.410924629629629, 0.8466550197303497, 0.2141099750041142, 2.181788149540547, 0.06849943039605381, 0.003428690645011082
0.00335, 0.8466695633829446, 161.58520950056533, 142.16511285032965, 152.22721921083962, 22.27249407062553, 174.49971328146515, 10.062106360510093, 19.35976515476387, 122.80534769556577, 0.007484086320379432, 0.0011378973817927388, 1.4945555034526077, -4.975249744203368E-4, 0.00684371391300703, 6.4130289609053515, 0.8491899149990035, 0.22611633137982337, 2.257620606728357, 0.06740630936089315, 0.003429240839873417
0.00336, 0.8491506966504824, 164.98428260024284, 146.23650470959416, 155.1113558623801, 22.73645938599461, 177.8478152483747, 8.874851152786194, 23.505890167423058, 122.73061454217111, 0.007919478469299576, 0.0012292287248449384, 1.4941852770701742, -4.914757827187028E-4, 0.0071817255271733405, 6.4148905349794285, 0.8517248102676572, 0.2385481422281492, 2.2718926275197093, 0.06726104624847205, 0.003428607014705146
