Starting dry volume fraction: 0.0014
Maximum dry volume fraction: 0.0029
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 53.83170338213784
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00152, 0.4306156486946453, -10.961277173354615, 16.62982828865417, -1.0213484357225842, 2.254271647140281, 1.232923211417697, -17.65117672437671, 21.19441441706913, -4.56458612841496, -0.0036069344470717334, -3.501464087775043E-4, 1.5036753932158906, -0.003555816667128512, 2.990286288342829E-4, 7.012922664609055, 0.5225493164790863, 0.0, 0.0047201415677106924, 1.1327866208041306, 0.005714296457989068
0.00153, 0.44571111605604663, -11.122714405508436, 1.4180843866882462, -1.0402842140760111, 1.938433566855548, 0.8981493527795368, -2.4583686007643144, 3.050576155097826, -1.6324917684095799, -0.0036827144446777743, -2.471347550338008E-4, 1.5037333331805876, -0.0036943330223187165, 2.5875333267474286E-4, 7.016025144032926, 0.5259871409296066, 0.0, 0.0038179522386323104, 1.2622915020552212, 0.00571450399131802
0.00154, 0.44851253174321826, -2.8788853206724707, -7.33681329433099, 7.076404269789124, 2.1665392881694543, 9.242943557958577, 14.413217564120073, -9.947671836586242, 2.6108585422552517, -0.0036600414964188164, -3.3881150022028615E-4, 1.5037246803874542, -0.003615846447503389, 2.9461645130485865E-4, 7.0138575925926006, 0.529424965380127, 0.0, 0.004606735696722551, 1.1516522295710343, 0.0057144574415321295
0.00155, 0.4410875460888616, -8.390274619761616, -11.900013518377637, 1.5992066055964882, 2.01488616905718, 3.614092774653668, 13.499220123974215, -10.342718593988318, -1.5572949243893204, -0.003696460109559166, -2.9903153873877305E-4, 1.5037527621945463, -0.0036724740224558287, 2.7504545163543545E-4, 7.013654660493825, 0.5328627898306473, 0.0, 0.004337076566437424, 1.1894780948911363, 0.005714302959481292
0.00156, 0.4509760450800275, -17.476260324915597, -21.127892614689074, -7.541035028950153, 2.173195747255054, -5.367839281695099, 13.586857585739121, -26.722668021835712, 5.5947754071466385, -0.0037001021068078224, -3.920528153651342E-4, 1.5037646905786535, -0.003598779180764982, 2.9072988932229375E-4, 7.014344506172836, 0.5363006142811676, 0.0, 0.00517129201901404, 1.091657564635082, 0.005714295613742448
0.00157, 0.4464015575715679, -20.081972146617048, 12.060755039645736, -9.997117939098976, 2.255789380658884, -7.741328558440092, -22.0578729787447, 12.944668841714845, -0.8839138020691087, -0.0037799031060832987, -4.3164919813284616E-4, 1.5038502204610513, -0.003653739750705341, 3.0548584275488897E-4, 7.014125555555555, 0.5397384387316879, 0.0, 0.004883332648858533, 1.1257781710790262, 0.005714713910007938
0.00158, 0.45039437692404066, -2.868779615283833, 37.04540150495575, 7.19488551423416, 2.084663959695985, 9.279549473930146, -29.85051599072165, 42.46632821104846, -5.420926706092712, -0.0037959864608328583, -3.3574529027951893E-4, 1.5038574308982686, -0.003750642221747791, 2.904010511944517E-4, 7.013458034979426, 0.5431762631822082, 0.0, 0.004282069462500122, 1.204767570394337, 0.00571446980328712
0.00159, 0.45312179117821055, -1.4849769170759501, 14.960833699738231, 8.50910905657754, 2.017966231025488, 10.527075287603028, -6.451724643160639, 17.523030995320028, -2.562197295581796, -0.0037936005197757093, -2.331373570235961E-4, 1.503851206769264, -0.0038437419497379436, 2.832787869858308E-4, 7.0142353395061825, 0.5466140876327286, 0.0, 0.00378648668137178, 1.2838824189109905, 0.005714444002244537
0.0016, 0.4604409088361392, -12.357599180692947, -16.522808914694213, -2.4011676538304783, 2.000588334730999, -0.4005793190994793, 14.121641260863614, -17.466647800335544, 0.9438388856413292, -0.0038030767033347583, -2.550115256251546E-4, 1.5038599290926846, -0.003829795893143211, 2.8173071543360754E-4, 7.015021265432096, 0.5500519120832489, 0.0, 0.004049341257274067, 1.2441103378739524, 0.005714517117396278
0.00161, 0.457990569344284, -10.847309776909519, -6.9662411167622835, -0.823863390746224, 2.0485958225625183, 1.2247324318162942, 6.14237772601599, -7.872846614678552, 0.9066054979162685, -0.0038526037096063784, -3.19722101193968E-4, 1.5039124801606276, -0.0038241885280651264, 2.913069196527158E-4, 7.014100781893009, 0.5534897365337692, 0.0, 0.0042641263763540035, 1.2148929693226773, 0.0057143200016496155
0.00162, 0.46167524959910883, 1.7538095465455974, 4.922258780795998, 11.721239570322231, 2.0204650837929377, 13.741704654115168, 6.798980789526174, 2.061247413836276, 2.861011366959722, -0.003854868792442084, -2.9657330239348813E-4, 1.5039140792709171, -0.003847973647373825, 2.8967815732522894E-4, 7.014298672839505, 0.5569275609842895, 0.0, 0.00426372154242802, 1.2174608798206568, 0.005714430837592103
0.00163, 0.470009479784336, 3.4182010818450226, 16.49401236348259, 13.297141260245022, 2.1382592728281793, 15.435400533073201, -3.196871103237589, 9.8650881079416, 6.628924255540987, -0.003844229885849144, -3.135417685435265E-4, 1.503910789519621, -0.003839231633544371, 3.0854351623875307E-4, 7.015904979423871, 0.5603653854348098, 0.0, 0.004509989685357, 1.1861852544181815, 0.0057144169995018024
0.00164, 0.45667422126702645, -5.718260916276223, -4.037788326133455, 4.085929703773311, 2.2566431566739986, 6.3425728604473095, 8.123718029906776, -12.741877550438824, 8.704089224305369, -0.003838548084482353, -2.533181145653465E-4, 1.5039126495224, -0.003910344719136968, 3.2511474921996167E-4, 7.0151605864197535, 0.5638032098853301, 0.0, 0.004155851987331937, 1.2382138972279146, 0.005714287672817851
0.00165, 0.47014208311262645, -10.502040272041668, -5.115623267095038, -0.6735325695462052, 2.459740931633691, 1.786208362087486, 4.442090697548834, -4.6445615220196785, -0.4710617450753596, -0.0038715325705705804, -3.774689977358236E-4, 1.5039585705702867, -0.003848130867843221, 3.540672950084637E-4, 7.014918271604936, 0.5672410343358504, 0.0, 0.004813804974016641, 1.1528199837473492, 0.005714299660707262
0.00166, 0.46734915058848464, -10.287452091449152, 9.991784963761129, -0.47485364426718246, 2.1759975427039584, 1.701143898436776, -10.466638608028141, 13.982290730897736, -3.9905057671366073, -0.0038886916331377207, -2.800696440977992E-4, 1.503960213945888, -0.0039357793088909574, 3.271573198510359E-4, 7.0151537448559695, 0.5706788587863707, 0.0, 0.004315555337881419, 1.2200064073486112, 0.0057145345335745225
0.00167, 0.46918304588343424, -10.667650688860848, -3.676759973592667, -0.8336466463779139, 2.273920858813544, 1.4402742124356305, 2.8431133272147746, -4.499657059130984, 0.8228970855383165, -0.003920651536135836, -3.1408281023013193E-4, 1.5039983789229383, -0.003945524413821909, 3.3895568791620506E-4, 7.015948600823041, 0.574116683236891, 0.0, 0.004418311977451039, 1.2081524207912187, 0.005715156630094173
0.00168, 0.4665288213698423, -9.663951634843862, 0.533308872189771, 0.15882600569142993, 2.229137629979105, 2.387963635670535, -0.3744828664984437, 4.26789981138024, -3.7345909391904692, -0.003939625913287017, -3.053153947743695E-4, 1.5040150989469847, -0.003969456232084146, 3.3514571357149873E-4, 7.014591265432097, 0.5775545076874113, 0.0, 0.00441588053602141, 1.2108923342347522, 0.005714493427970526
0.00169, 0.4826702764440654, -14.413376306734715, -1.0538798031346954, -4.581384718780056, 2.1893430853572444, -2.3920416334228114, -3.5275049156453027, -1.1659979699181753, 0.11211816678347976, -0.003966793506310428, -2.973397967627152E-4, 1.504038564641718, -0.003994567869135437, 3.2511415958772427E-4, 7.015889742798348, 0.5809923321379317, 0.0, 0.004404802211751649, 1.2148149353066857, 0.00571467585970849
0.0017, 0.47499718044869776, -17.606637343021724, -1.2193120050400048, -7.7298526593546795, 2.2490687969430416, -5.480783862411638, -6.510540654314731, -3.9722809884115184, 2.7529689833715136, -0.00400844471586283, -3.1440143915366966E-4, 1.504084812300117, -0.00403357181994147, 3.395285432323105E-4, 7.015054670781896, 0.584430156588452, 0.0, 0.004293830100059291, 1.232835049531427, 0.0057143672883817965
0.00171, 0.4694708481756094, -1.3806807435131305, 16.086762354759234, 8.542242373740562, 2.2540519862063992, 10.79629435994696, -7.544519981018748, 17.63260266892402, -1.5458403141647854, -0.004050859007241476, -3.200048818630162E-4, 1.5041283226563913, -0.004073107197072444, 3.4225307169398353E-4, 7.012649763374494, 0.5878679810389723, 0.0, 0.004183236240574607, 1.2514694959326975, 0.005714562279568069
0.00172, 0.47657184090353893, 8.803602937295887, 20.52396529250345, 18.58159571468208, 2.1405590823280467, 20.722154797010127, -1.9423695778214034, 18.387710216976917, 2.1362550755265355, -0.004015036980817687, -2.3395471007992414E-4, 1.5040861247941748, -0.004117232930056025, 3.361506593182625E-4, 7.013839794238689, 0.5913058054894926, 0.0, 0.004046175158232288, 1.274964922596844, 0.005714328329732685
0.00173, 0.49206462860439576, -4.192238451350053, -5.9863589053705475, 5.514193035215202, 2.284835350790284, 7.799028386005486, 11.500551940585876, -8.3204917920347, 2.3341328866641526, -0.004008824899506807, -2.349304362734E-4, 1.504089271615537, -0.004130256130173371, 3.5636166693996346E-4, 7.018683189300416, 0.594743629940013, 0.0, 0.004118619419706792, 1.2661465134002925, 0.005714324057972109
0.00174, 0.49721964407684754, -26.88393090415471, -38.49300700628091, -17.17014219948158, 2.2531472844619653, -14.916994915019616, 21.322864806799366, -41.07800225591269, 2.5849952496317807, -0.004035053444982255, -2.7639809081050865E-4, 1.5041136026636648, -0.004110070465149497, 3.5141511097775053E-4, 7.018428405349784, 0.5981814543905333, 0.0, 0.004423162073444222, 1.2241305880643656, 0.005714358095163148
0.00175, 0.48836605604456856, -9.203590020034943, -7.823015607718383, 0.6991557455884769, 2.3516841838931524, 3.0508399294816293, 8.522171353306735, -12.121492850141491, 4.298477242423108, -0.004137186214300923, -4.342404391640021E-4, 1.5042231061676583, -0.004075689139381493, 3.72743364244572E-4, 7.014793220164605, 0.6016192788410536, 0.0, 0.00485612272661261, 1.1705202994625314, 0.005714307574854968
0.00176, 0.4972912551649717, 8.587220717204698, 18.545784805731518, 18.295211709552394, 2.4038282769529755, 20.69903998650537, -0.2505730961789907, 16.074133737351083, 2.4716510683804365, -0.004078997350358649, -3.3923670382926123E-4, 1.504167886937099, -0.004115959398696923, 3.7619875216753535E-4, 7.019479948559666, 0.6050571032915739, 0.0, 0.004725675556396611, 1.1888216318953877, 0.0057146801256070245
0.00177, 0.49504452202191346, 0.14363345214900264, 19.126803260430044, 9.837453042825214, 2.4713729246817877, 12.308825967507001, -9.289350217604794, 17.980484035751132, 1.146319224678911, -0.004096185255563995, -3.6134706650092763E-4, 1.5041900619797675, -0.004123657803681658, 3.8881961461859093E-4, 7.017453127572012, 0.6084949277420941, 0.0, 0.004845047490146199, 1.1763046942036868, 0.005714333694915427
0.00178, 0.4923989759728196, -9.587782109709092, 25.884819915615623, 0.009516473149874997, 2.3435752199160604, 2.3530916930659354, -25.875303442465952, 29.13650848584828, -3.2516885702326594, -0.004078311551141563, -2.5746923412559556E-4, 1.504165491930174, -0.004206907782285662, 3.860654652696943E-4, 7.016935432098758, 0.6119327521926144, 0.0, 0.004406088615122485, 1.2358273838243143, 0.005714492429121746
0.00179, 0.4928317389732165, -5.724946182430549, -14.58212543697315, 3.9676886319220053, 2.2611549761161944, 6.2288436080382, 18.5498140688951, -26.747309204296243, 12.165183767323093, -0.004141963543045442, -2.2512339874506052E-4, 1.504225209586965, -0.004294471903855048, 3.77631759554666E-4, 7.016793096707818, 0.6153705766431348, 0.0, 0.003983995949025144, 1.3020749787833634, 0.0057145690441172915
0.0018, 0.4988533300526549, -19.490252212592587, -25.075032633400863, -9.935979767516164, 2.7201735092910524, -7.215806258225111, 15.139052865884912, -25.060218279798328, -0.014814353602533754, -0.00410564615565763, -3.876935735911034E-4, 1.5042198379719969, -0.004166321870510711, 4.483692884441842E-4, 7.018442510288068, 0.6188084010936551, 0.0, 0.005055564004922216, 1.1580228323713566, 0.005714337918614731
0.00181, 0.4979460927043362, -18.39288150483882, 4.32594992104117, -8.591985724759857, 2.3216108459686713, -6.270374878791186, -12.917935645801, 9.92206481116549, -5.596114890124319, -0.004235022642497698, -3.4908483354404834E-4, 1.5043216535488468, -0.004268480716162892, 3.825429072092425E-4, 7.017992674897118, 0.6222462255441754, 0.0, 0.0044701072106452105, 1.2338006151466487, 0.0057144499153713715
0.00182, 0.5014115653919212, -3.051946592350012, 6.558956740199695, 6.599453424811715, 2.490401962319777, 9.089855387131493, 0.04049668461192141, -7.764637974609099, 14.323594714808793, -0.004193465695933588, -3.4417649475823646E-4, 1.5042945138857262, -0.004275166002663158, 4.2587680148780673E-4, 7.016561676954732, 0.6256840499946957, 0.0, 0.004588472178758769, 1.2200215587773913, 0.005714359626398081
0.00183, 0.5065438775180695, -7.81129518883718, 9.402947896363465, 1.9158415837256202, 2.647849280902438, 4.563690864628058, -7.48710631263789, 11.43352272606608, -2.0305748297026156, -0.004249594614084447, -3.899404082764483E-4, 1.5043611390341078, -0.004315267204919959, 4.556129991119599E-4, 7.018407263374483, 0.6291218744452161, 0.0, 0.004472411464294646, 1.2380093206037712, 0.005714424165698837
0.00184, 0.519528676478588, 16.247851921670733, 27.34409083631691, 25.879250799394146, 2.4672934797577244, 28.34654427915187, -1.4648400369226724, 31.989621667630267, -4.645530831313359, -0.004230761883171189, -2.938470888003283E-4, 1.5043299267075965, -0.004358075692254188, 4.2116089788332706E-4, 7.02037734567902, 0.6325596988957364, 0.0, 0.004342453330002272, 1.2586822902287416, 0.005714309542581453
0.00185, 0.5236999431114596, 4.609722724591971, -7.457085954559966, 14.056048808568463, 2.5641002153995482, 16.62014902396801, 21.51313476312853, -20.175287682621224, 12.718201728061258, -0.004172016835645676, -2.403952058908153E-4, 1.5042778515186508, -0.004369631688860698, 4.380100591058381E-4, 7.019823590534987, 0.6359975233462567, 0.0, 0.004423297765895097, 1.2493820111710443, 0.005714955267954045
0.00186, 0.5077118249965542, -8.611328849434042, -15.139846884785346, 0.8669396884795338, 2.8279633929638495, 3.694903081443383, 16.00678657326477, -26.923621068434436, 11.78377418364909, -0.004208752078434134, -3.9277585878074573E-4, 1.5043326742803516, -0.004302597301586765, 4.8662108193337736E-4, 7.017190390946501, 0.639435347796777, 0.0, 0.005074500583058454, 1.1685628851417411, 0.005714301579594556
0.00187, 0.5020019251885283, -5.09627879156297, 4.947904655762546, 4.341116840707183, 2.8637051505669273, 7.204821991274111, -0.606787815055292, -1.331993385352749, 6.2798980411152945, -0.004213132902234994, -3.731694235910242E-4, 1.5043396982540747, -0.004339469399789972, 4.995059211460024E-4, 7.017440627572012, 0.6428731722472973, 0.0, 0.004970322919956896, 1.1828581317910947, 0.005714286778901228
0.00188, 0.5234550774908815, -29.98775474452275, 1.6214495363682477, -20.55610311880439, 2.9046714272584335, -17.65143169154596, -22.177552655172697, 17.382619551618962, -15.761170015250714, -0.004233085017265683, -4.031267755539342E-4, 1.5043655964388414, -0.004351905937422893, 5.219476957111452E-4, 7.0200337345679085, 0.6463109966978177, 0.0, 0.005051056748614211, 1.175454761791792, 0.005714312912468914
0.00189, 0.5345621779530704, -11.674995630633127, -9.959132328473872, -2.020135880772999, 2.41685468717189, 0.3967188063988907, 7.938996447700817, -10.20871947545429, 0.2495871469804176, -0.004356313884229541, -2.9446211154390356E-4, 1.5044538911544865, -0.00449165628538723, 4.298045127015918E-4, 7.022342201646093, 0.649748821148338, 0.0, 0.0042447027218475535, 1.2845215321500272, 0.005714296140088174
0.0019, 0.5163519471958817, 12.887089843088182, -7.405824710873748, 22.342355616226687, 2.990667948801957, 25.333023565028643, 29.748180327100528, -36.899961232537386, 29.494136521663638, -0.004288829015221429, -4.549858217490045E-4, 1.5044270500052597, -0.004361530775930398, 5.276875824579734E-4, 7.021092026748978, 0.6531866455988583, 0.0, 0.005333107178495082, 1.1479918502207234, 0.0057142857201813915
0.00191, 0.5330903511603672, -13.525097578266381, 9.669343576868773, -4.106279185400474, 3.120386315091637, -0.9858928703088372, -13.775622762269224, 14.994973489167842, -5.32562991229907, -0.0042947825627116356, -4.7543577288509573E-4, 1.5044454410361616, -0.004395530037248767, 5.761832474222274E-4, 7.02223855967078, 0.6566244700493785, 0.0, 0.005246723111718285, 1.1594307386373595, 0.005714514719675392
0.00192, 0.5297977098097241, -8.906740621079543, 27.84504481655301, 0.590919233362384, 2.799660423991101, 3.390579657353485, -27.254125583190678, 51.683295961606916, -23.838251145053906, -0.004353406599282869, -3.883684822354033E-4, 1.5044805894613136, -0.004473331022170565, 5.082929051231004E-4, 7.022357057613169, 0.6600622944998988, 0.0, 0.004841094912105315, 1.2091301152421914, 0.005714335866402242
0.00193, 0.546982614977718, -1.2433447657146184, -7.768397970321299, 8.170167121744175, 2.5739857067926692, 10.744152828536844, 15.938565092065396, -24.00575288908858, 16.23735491876728, -0.004337309116612101, -2.3271171708124717E-4, 1.5044480574769927, -0.00457225609958274, 4.6765870005188547E-4, 7.025072788065848, 0.6635001189504192, 0.0, 0.004334739677955429, 1.2800158662881476, 0.005714500796678019
0.00194, 0.5228648039957482, -5.348095722277224, -3.4877356140095372, 4.064468100322153, 3.218242128646953, 7.282710228969107, 7.552203714331804, -10.674653295675116, 7.186917681665578, -0.004359343133245796, -5.053990296678948E-4, 1.5045166099220575, -0.0044446108717883966, 5.906667682104952E-4, 7.018153950617292, 0.6669379434009395, 0.0, 0.0054005721141440425, 1.1487489276619811, 0.005714297105781744
0.00195, 0.5360423575140374, 24.605083899525795, 36.864581766449106, 33.97689921093145, 2.6780096818455905, 36.65490889277704, -2.8876825555175496, 24.42237921716331, 12.442202549285794, -0.004362844392721972, -2.888897314901405E-4, 1.5044836461132873, -0.004582017713648547, 5.080630524167155E-4, 7.023114969135805, 0.6703757678514598, 0.0, 0.00457668101090899, 1.250011405771751, 0.005714348776550501
0.00196, 0.5444306872279319, 40.472665408940415, -18.515960297761488, 49.5381103772324, 3.338689409023602, 52.876799786256, 68.05407067499377, -72.96846476913018, 54.45250447136869, -0.004241862511411786, -3.917537300386324E-4, 1.5044125451635477, -0.004505393593845441, 6.552848124722876E-4, 7.024245936213995, 0.67381359230198, 0.0, 0.005285274406010679, 1.1651880290076024, 0.005714370392218373
0.00197, 0.5384816993704757, -4.277748515680094, -30.564256325657343, 4.588031458463157, 4.008580987100041, 8.5966124455632, 35.1522877841205, -49.09393490849915, 18.529678582841807, -0.004169601649923855, -6.412859742663676E-4, 1.5043868233233895, -0.004303056865303865, 7.747411896463763E-4, 7.024571779835391, 0.6772514167525003, 0.0, 0.007295660974163422, 0.9934229306670493, 0.005714374996732605
0.00198, 0.5351572394649026, -15.632069039950022, 24.816429648941597, -6.614984641886445, 3.7815203311959142, -2.833464310690531, -31.43141429082803, 28.96817066197662, -4.151741013035025, -0.004262287256059021, -6.326705200394567E-4, 1.504465275173181, -0.0043812396394910386, 7.516229034714747E-4, 7.020386224279827, 0.6806892412030207, 0.0, 0.006733167981041348, 1.0358330548064563, 0.005714450912107985
0.00199, 0.5578549977371146, 7.369286011832614, 19.379750328048516, 16.303068891159853, 3.725115632409466, 20.02818452356932, -3.0766814368887583, 14.580210325567705, 4.7995400024808115, -0.00424423928167771, -5.093637589844014E-4, 1.5044462383019932, -0.004497385759739945, 7.625102370466359E-4, 7.027469495884782, 0.684127065653541, 0.0, 0.005893481260308052, 1.1090288207958272, 0.005714286605228269
0.002, 0.5436192010679436, -36.651505951235286, 24.38241004190609, -27.798285257270678, 3.8262454196237106, -23.972039837646967, -52.18069529917665, 79.79294048791664, -55.41053044601055, -0.004227101507183788, -5.681743774590861E-4, 1.5044372973698694, -0.004441129568142845, 7.822024384181433E-4, 7.022933940329217, 0.6875648901040613, 0.0, 0.006586015655992473, 1.0508556082218699, 0.005714322572720163
0.00201, 0.5688688375058963, -31.46003020255344, 25.15444463992681, -22.25044908370473, 2.548698054887468, -19.701751028817263, -47.40489372363147, 56.72819099491667, -31.573746354989865, -0.004419237331994744, -1.3406227568431116E-4, 1.5045347041155825, -0.004790941523146453, 5.05766466836021E-4, 7.030845102880652, 0.6910027145545816, 0.0, 0.0041599988819115055, 1.3244325306732068, 0.0057144871565498806
0.00202, 0.5372545862893336, -33.96461091515017, -38.91907203694842, -24.887560424070823, 3.1354697193772014, -21.75209070469362, 14.031511612877548, -46.34888939242451, 7.429817355476087, -0.004377312086680489, -2.986511701659057E-4, 1.5045367090311, -0.004715142322960508, 6.364814064459251E-4, 7.019640823045267, 0.6944405390051019, 0.0, 0.004780332488506889, 1.2375587680342783, 0.005714306479022291
0.00203, 0.5755822246980934, 18.859596788986092, 6.876578998589363, 28.31306982701019, 2.78947135756633, 31.10254118457652, 21.43649082842078, -23.134174246412645, 30.010753245002007, -0.0045814064035149165, -3.5831886357189774E-4, 1.5047143819129034, -0.004770630567634284, 5.475430276912651E-4, 7.030952777777768, 0.6978783634556223, 0.0, 0.004571517225110765, 1.2675923013806705, 0.005714442048304899
0.00204, 0.5768028561803437, 55.77891870571518, 60.012313851543325, 64.58208049797038, 3.654076476961738, 68.23615697493211, 4.569766646426953, 25.2392052287554, 34.77310862278793, -0.0042872641450698735, -4.1263895084496234E-4, 1.504489533000805, -0.0046597919050045235, 7.851667107796127E-4, 7.03150442386832, 0.7013161879061426, 0.0, 0.005503742574831793, 1.1571564843525113, 0.005714312341625868
0.00205, 0.6065381610395818, 9.948717026293643, -136.4558540617557, 18.765776486330044, 3.370689768721709, 22.13646625505175, 155.2216305480857, -271.4830653980385, 135.0272113362828, -0.00431508168454485, -2.4185601532612547E-4, 1.5044947312699202, -0.004794495773480414, 7.212701042616889E-4, 7.04066910493828, 0.7047540123566629, 0.0, 0.004718989862528858, 1.2517123156999033, 0.005714313037259332
