phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.6693467337e-03, 9.1124171168e-01, 1.4582641986e+00, 2.7639672031e+04, 2.5351335820e+04
2.6829145729e-03, 9.1549031053e-01, 1.5495285453e+00, 2.8716242345e+04, 2.6296989023e+04
2.6964824121e-03, 9.1973890938e-01, 1.6443184935e+00, 2.9816624412e+04, 2.7262294679e+04
2.7100502513e-03, 9.2362005494e-01, 1.7427115507e+00, 3.0941052335e+04, 2.8247429561e+04
2.7236180905e-03, 9.2737259183e-01, 1.8447859825e+00, 3.2089760213e+04, 2.9252570417e+04
2.7371859296e-03, 9.3112512873e-01, 1.9506208128e+00, 3.3262982149e+04, 3.0277893973e+04
2.7507537688e-03, 9.3487766562e-01, 2.0602958238e+00, 3.4460952244e+04, 3.1323576932e+04
2.7643216080e-03, 9.3863020252e-01, 2.1738915560e+00, 3.5683904600e+04, 3.2389795973e+04
2.7778894472e-03, 9.4238273942e-01, 2.2914893082e+00, 3.6932073317e+04, 3.3476727756e+04
2.7914572864e-03, 9.4613527631e-01, 2.4131711374e+00, 3.8205692497e+04, 3.4584548920e+04
2.8050251256e-03, 9.4945194553e-01, 2.5390198588e+00, 3.9504996241e+04, 3.5713436081e+04
2.8185929648e-03, 9.5202763969e-01, 2.6691190461e+00, 4.0830218651e+04, 3.6863565837e+04
2.8321608040e-03, 9.5460333384e-01, 2.8035530310e+00, 4.2181593828e+04, 3.8035114765e+04
2.8457286432e-03, 9.5717902800e-01, 2.9424069038e+00, 4.3559355873e+04, 3.9228259425e+04
2.8592964824e-03, 9.5975472216e-01, 3.0857665129e+00, 4.4963738888e+04, 4.0443176357e+04
2.8728643216e-03, 9.6233041631e-01, 3.2337184648e+00, 4.6394976974e+04, 4.1680042081e+04
2.8864321608e-03, 9.6490611047e-01, 3.3863501245e+00, 4.7853304232e+04, 4.2939033104e+04
2.9000000000e-03, 9.6748180463e-01, 3.5437496152e+00, 4.9338954764e+04, 4.4220325910e+04
