Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 5.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.164093606817634
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.498680648148147
Dry volume fraction: 0.020250000000000015
Reservoir volume fraction: 0.8723741459669347
Actual volume fraction: 0.0
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.01475, 0.6348820220122217, 14.105056936861725, 13.970014961316519, 13.904610057970947, 14.523255809833964, 0.06540490334557165, -0.0017022408664535936, -0.0016884609183685784, 1.5017160208145386, -0.023306586020818438, 0.01978971367340733, 0.0018146314809575125, 3.504813796296296, 0.6354330199018413, 658.4683452506255, 721.3457042004544, 0.9128332523730452
0.01525, 0.6563384744325167, 16.768265175203055, 15.387990785935527, 15.579345970441734, 16.950001769512603, -0.19135518450620792, 3.567059108100512E-5, 5.162810311235347E-5, 1.4999802869209504, -0.02397527290162159, 0.02220083265873029, 0.0018101108339723046, 3.504792407407407, 0.6569731222713953, 658.4562899850888, 721.3324977736451, 0.9128332523730452
0.01575, 0.6777036791430033, 21.426108241967306, 19.142131205648987, 18.798668911876646, 20.470881566941884, 0.34346229377234017, 0.002300887568110286, 0.002321092067515764, 1.4977193169312952, -0.024640045434799668, 0.025053288414811452, 0.001887644588098502, 3.504721666666667, 0.6785132246409492, 658.4164199384849, 721.2888205231721, 0.9128332523730451
0.01625, 0.6990459559438027, 26.846248085082607, 22.901360133033233, 22.708131330320636, 25.32545251108829, 0.19322880271259535, 0.00515077714797765, 0.005175786677059504, 1.4948742323811042, -0.025301027927813958, 0.02843984820905198, 0.0020119568667396276, 3.504657777777778, 0.7000533270105032, 658.3804130335088, 721.2493753069921, 0.9128332523730454
0.01675, 0.7202783249855159, 35.64384498373488, 28.477009387834126, 28.610716194327278, 33.599540138571285, -0.13370680649315295, 0.008709957197428626, 0.008742666486711799, 1.4913227520918546, -0.025958337034694103, 0.03261070693511417, 0.0020575872970085593, 3.50455425925926, 0.7215934293800571, 658.3220741974138, 721.1854656762426, 0.9128332523730454
0.01725, 0.741220763299396, 51.648183527212026, 39.41631480091601, 39.412564566228035, 48.32750843569919, 0.003750234687976708, 0.013660118327921647, 0.01370712191133067, 1.4863868852554873, -0.0266120824418472, 0.03816932301913962, 0.0021028777506292297, 3.5043146296296315, 0.743133531749611, 658.1870418851075, 721.0375390840034, 0.9128332523730452
0.01775, 0.7617116567084801, 80.35764688332928, 59.39012333750552, 58.355859973756566, 74.35831202983046, 1.034263363748957, 0.02104005276253842, 0.02111465209449506, 1.4790345465694181, -0.02726236747429353, 0.04612203168068266, 0.0021803885561492947, 3.5039627777777786, 0.764673634119165, 657.9888053374474, 720.8203728631794, 0.9128332523730455
0.01825, 0.78116885144346, 125.23033387528817, 94.7294761484079, 91.97642211333402, 114.93893829981829, 2.7530540350738715, 0.03284409340299399, 0.03297696987181578, 1.4672887830658279, -0.027909289633546053, 0.05828075430381583, 0.002472628732724211, 3.5032675, 0.786213736488719, 657.597196534147, 720.3913692063974, 0.9128332523730452
0.01875, 0.7992717154414736, 183.62779189399458, 145.31989276726313, 140.39395920173604, 167.322632829868, 4.925933565527077, 0.05093659275448924, 0.051180638835304354, 1.449307453326326, -0.02855294107650506, 0.07651641553152067, 0.0029731182994736332, 3.502269166666666, 0.8077538388582729, 657.0351662571413, 719.7756704733107, 0.912833252373045
0.01925, 0.8161639432698099, 251.0390520175394, 205.5454658366248, 197.96847870337922, 226.77621326428573, 7.576987133245573, 0.07668199955646265, 0.07709963260231968, 1.4237356334893945, -0.02919340904323873, 0.10206823354322804, 0.00380717505647335, 3.501163981481481, 0.8292939412278268, 656.4133553307895, 719.0944826170013, 0.9128332523730452
