Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 3.0E-5
Maximum x-link fraction: 1.0E-4
x-link fraction increment: 3.0E-6
Reservoir swelling ratio: 7.0053187131881725
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00265, 0.8481404600167843, 19.084361378310017, 18.304104649465952, 18.146787016400754, 19.069758502091183, 0.1573176330651961, -9.013698168348905E-5, -9.000235529514275E-5, 1.5000902716080717, -0.0052733291022967485, 0.004856299735072682, 3.268923855405774E-4, 6.999450586419754, 0.9110234793878805, 4056.4211456334506, 5745.667056779152, 0.7059965545423299
0.00275, 0.8693028536691622, 22.428933366036496, 20.843339714868616, 20.639778554438255, 21.611394286304332, 0.20356116043036035, 4.032299295696753E-4, 4.033954800168613E-4, 1.4995969356208776, -0.0054480045346956725, 0.005508421504574367, 3.428129596909807E-4, 6.998729053497944, 0.9454017238930834, 4055.166815883837, 5743.890377075061, 0.7059965545423298
0.00285, 0.8884045893501032, 26.04969506817137, 23.56319675470192, 23.297183783786394, 24.342406042588024, 0.2660129709155239, 9.807657023615463E-4, 9.80967909303747E-4, 1.4990194365045806, -0.005621811657801176, 0.006241033793537051, 3.6154356662567117E-4, 6.997830524691359, 0.9797799683982864, 4053.605153873952, 5741.678380430266, 0.7059965545423298
0.00295, 0.9045465197625676, 29.809499016448903, 26.451330519730487, 26.169985627136644, 27.189706860711823, 0.28134489259384465, 0.0016470112504104878, 0.0016472594918898586, 1.4983532369910688, -0.005794780951346675, 0.007060906579932157, 3.808856218250068E-4, 6.996885082304526, 1.0141582129034894, 4051.9623880088843, 5739.351505242988, 0.7059965545423298
0.00305, 0.9190260446425373, 33.69296777393358, 29.37075049613917, 29.062647946054373, 30.08336524151162, 0.30810255008479726, 0.002404064438229797, 0.0024043640605049326, 1.4975962351840453, -0.005966940827411812, 0.007970205715882913, 4.0079954975869616E-4, 6.995874650205767, 1.0485364574086924, 4050.2071891232504, 5736.865375708302, 0.7059965545423299
0.00315, 0.9311636942219351, 37.72194622043401, 32.41832059951933, 32.02416935487238, 32.99857310686537, 0.39415124464695245, 0.003255731961007727, 0.003256091208474445, 1.496744627286459, -0.006138317833951937, 0.008972171422297998, 4.218783726616658E-4, 6.994928796296296, 1.0829147019138954, 4048.5646269387275, 5734.538789021788, 0.7059965545423299
0.00325, 0.9412805853900853, 41.719972636067546, 35.3628632411051, 34.9578711240926, 35.89528887339738, 0.4049921170125072, 0.004205154699438411, 0.004205581380963978, 1.495795271982087, -0.006308936832459302, 0.010067686718042639, 4.464048138550747E-4, 6.99390552469136, 1.1172929464190984, 4046.7881219866404, 5732.022480775443, 0.7059965545423298
0.00335, 0.9498231530620825, 45.824456609087676, 38.42509524910258, 37.87756419575128, 38.71541062158613, 0.5475310533512976, 0.005247713922214355, 0.005248213994748573, 1.4947527861503198, -0.0064788211537398395, 0.011257848688623787, 4.6868638733040793E-4, 6.993037037037033, 1.1516711909243014, 4045.2807457020212, 5729.887376468033, 0.7059965545423299
0.00345, 0.9561259644752442, 49.788257073716636, 41.20000973409547, 40.65407985923442, 41.48032171397491, 0.5459298748610483, 0.006393111334589324, 0.006393695589120182, 1.4936074729199416, -0.006647992735074966, 0.012540575296862517, 5.005287728017729E-4, 6.9919512345679085, 1.1860494354295044, 4043.3967171316676, 5727.218767735836, 0.7059965545423297
0.00355, 0.9613921433405268, 53.71555072455328, 43.98389586145196, 43.45595718782362, 44.190779799019026, 0.5279386736283379, 0.007624928088577964, 0.007625599981148683, 1.4923757438039928, -0.00681647224146874, 0.01391763155052446, 5.237687795222424E-4, 6.991244835390947, 1.2204276799347074, 4042.17132376482, 5725.483074609625, 0.7059965545423298
0.00365, 0.9647909437658063, 57.689977656870376, 46.766486732234746, 46.12154486620947, 46.76502056961698, 0.6449418660252755, 0.008957839960204153, 0.008958608541730393, 1.491042928621322, -0.006984279173223753, 0.01538687504550416, 5.552440879237457E-4, 6.9902121707818905, 1.2548059244399103, 4040.3804020476464, 5722.946345916474, 0.7059965545423298
0.00375, 0.9667392878663845, 61.46039865892449, 49.240549030477716, 48.64470298168778, 49.27074592167618, 0.595846048789934, 0.01037942162186354, 0.010380296172777536, 1.4896214529290503, -0.007151431961720064, 0.016945866764681048, 5.849868189025553E-4, 6.9895302880658425, 1.2891841689451133, 4039.1981217024486, 5721.271719691187, 0.7059965545423299
0.00385, 0.967616190191262, 65.29660953566854, 51.82109314708198, 51.167314274509536, 51.70408805918588, 0.6537788725724458, 0.011892357835494052, 0.011893341777369119, 1.488108626106381, -0.007317948054971303, 0.018595412952337464, 6.148929381278898E-4, 6.988750781893011, 1.3235624134503163, 4037.846859768831, 5719.357741605992, 0.7059965545423299
0.00395, 0.9672373362538961, 69.23574944869758, 54.36154001236302, 53.54390896787566, 54.10517675710611, 0.8176310444873666, 0.01349710507428645, 0.013498206041624952, 1.4865039958930522, -0.0074838439942865554, 0.020332804117600408, 6.481449509725985E-4, 6.987804897119342, 1.3579406579555193, 4036.207587852508, 5717.035815378767, 0.7059965545423297
0.00405, 0.9650479812582131, 72.90393610965378, 56.70961920811133, 55.99667008982703, 56.47214000249318, 0.7129491182842997, 0.015198121364523708, 0.015199345729891761, 1.4848031030008444, -0.007649135483164614, 0.022160507436981735, 6.867494107065863E-4, 6.986965812757201, 1.3923189024607225, 4034.753778510206, 5714.976585297615, 0.7059965545423299
0.00415, 0.9619579029237544, 76.54927167008385, 59.01453699452351, 58.3055523865128, 58.70367812865792, 0.7089846080107068, 0.016978011615098588, 0.01697936637798664, 1.4830233431477895, -0.00781383744938025, 0.02407574974945585, 7.160993150229892E-4, 6.98630738683128, 1.4266971469659258, 4033.613224989008, 5713.361062510908, 0.7059965545423302
0.00425, 0.958032287586365, 80.26256179594695, 61.26756673858847, 60.48266055481505, 60.89619584396763, 0.7849061837734232, 0.01885307985743718, 0.018854571045008147, 1.4811484113301339, -0.007977964101083188, 0.026075932215968933, 7.551117425514322E-4, 6.985544495884774, 1.4610753914711287, 4032.29198152175, 5711.489603707384, 0.7059965545423299
0.00435, 0.9526770406945568, 83.94838886308499, 63.54313575936955, 62.709323146174704, 63.07562040925972, 0.8338126131948417, 0.02081026665161169, 0.020811899301392673, 1.4791913659981692, -0.008141528977614635, 0.02816268513426234, 7.891104949639845E-4, 6.984807726337453, 1.495453635976332, 4031.0162513573096, 5709.6826116530565, 0.7059965545423299
0.00445, 0.9460885210743327, 87.41540833101699, 65.57337388572785, 64.86052280214227, 65.183254006776, 0.7128510835855806, 0.022861320173085356, 0.022863101366920116, 1.4771404610207495, -0.008304544995648857, 0.030334660864184886, 8.312043045493257E-4, 6.984053395061727, 1.5298318804815352, 4029.710391535591, 5707.832942822073, 0.7059965545423299
0.00455, 0.9383902644042191, 91.08299456941941, 67.72636607047835, 66.94105313954759, 67.29711978749795, 0.7853129309307576, 0.02498404495309503, 0.024985982733678924, 1.4750178928274889, -0.008467024491185368, 0.03259056532039042, 8.605041238899798E-4, 6.983668425925928, 1.5642101249867382, 4029.044061312781, 5706.889127702122, 0.70599655454233
