Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 3.5055745959281923
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00265, 0.11415887622021623, -6.415598761986305, 1.216801423033756, 1.2367977084389312, 1.3170199714245294, -0.019996285405175278, -0.004879170187177996, -0.004879126031194953, 1.504879214343161, -0.0052733291022967485, 7.004107195560615E-5, 3.2411784316314625E-4, 3.505045092592594, 0.11416251111306674, 658.5987185168079, 721.4885268527225, 0.9128332523730452
0.00275, 0.11847323939333315, -6.495758330872682, 1.2055879175811737, 1.4061779969927288, 1.375630882924965, -0.20059007941155518, -0.005035843355028853, -0.005035758959081693, 1.505035927750976, -0.0054480045346956725, 8.238091667416932E-5, 3.2978026299265E-4, 3.505120925925927, 0.11847053040035228, 658.6414667400682, 721.5353571178878, 0.9128332523730452
0.00285, 0.12277844537285316, -6.273406663047159, 1.3502204311807795, 1.3598538778387546, 1.363439753839135, -0.009633446657975133, -0.00518931980142462, -0.005189247972336519, 1.5051893916305128, -0.005621811657801176, 9.396746488873556E-5, 3.38524391487821E-4, 3.5050911111111116, 0.12277854968763781, 658.6246595256468, 721.516944977031, 0.9128332523730454
0.00295, 0.1270878475459295, -6.230716129643847, 1.3626695263573518, 1.3796520816935087, 1.362313143527152, -0.016982555336156967, -0.005335376459163729, -0.005335299474263007, 1.5053354534440644, -0.005794780951346675, 1.0632809473841673E-4, 3.530763974445295E-4, 3.50509962962963, 0.12708656897492335, 658.6294615577337, 721.5222055567419, 0.9128332523730454
0.00305, 0.13139131736211337, -6.14107837455177, 1.3588744654470424, 1.3578437674521018, 1.3935177484513908, 0.0010306979949406057, -0.005486814582735186, -0.00548674015478409, 1.5054868890106863, -0.005966940827411812, 1.1847532759963364E-4, 3.616509170769919E-4, 3.505059629629629, 0.13139458826220887, 658.6069130878484, 721.4975039260481, 0.9128332523730451
0.00315, 0.13569303731038906, -6.088707579248839, 1.3563981385733288, 1.4409243119900934, 1.480744812097794, -0.08452617341676451, -0.005628591352931126, -0.005628490987749, 1.5056286917181132, -0.006138317833951937, 1.3288605713750588E-4, 3.768404238833053E-4, 3.505010648148148, 0.1357026075494944, 658.579302352298, 721.4672566322748, 0.9128332523730454
0.00325, 0.1400001134210745, -6.036355316508843, 1.4224410667305347, 1.5345629094115316, 1.5223418067018986, -0.112121842680997, -0.005777528955218748, -0.005777403582136937, 1.5057776543283006, -0.006308936832459302, 1.4986641153996264E-4, 3.815414657005906E-4, 3.505008796296297, 0.14001062683677995, 658.5782584832959, 721.4661130838783, 0.9128332523730452
0.00335, 0.14432134945704148, -5.698582390498416, 1.7249083533713587, 1.5265687935126229, 1.5015129853725337, 0.19833955985873578, -0.005916806088995553, -0.005916680018800405, 1.5059169321591908, -0.0064788211537398395, 1.6704858969601266E-4, 3.9496647504827357E-4, 3.505122777777778, 0.14431864612406547, 658.6425106758605, 721.5365007394524, 0.9128332523730452
0.00345, 0.14863074453686442, -5.547556094229774, 1.7651382934927486, 1.4921756486805817, 1.5247149963748896, 0.27296264481216687, -0.006049616222038024, -0.006049497867447027, 1.506049734576629, -0.006647992735074966, 1.8378494286511152E-4, 4.145915701718307E-4, 3.5051255555555554, 0.148626665411351, 658.644076581618, 721.5382161740658, 0.9128332523730454
0.00355, 0.1529318397077633, -5.712969032920522, 1.593150609392072, 1.5715203049005178, 1.5595528325656494, 0.021630304491554217, -0.006181682381338424, -0.006181535247088439, 1.5061818295155884, -0.00681647224146874, 2.0275608489864883E-4, 4.3203377523166637E-4, 3.505078240740741, 0.15293468469863652, 658.6174043257885, 721.508996975751, 0.9128332523730454
