Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6500027955222378
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.5281863876481138
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0133, 43.86932362330896, 38.663222074847994, 11.583689695560814, 38.663222074847994, 0.0, -0.02193290618267367, 1.5231470766492736, -0.004046152861434825, 0.0, 3.505, 0.5729667230301336, 0.0, 1.6541420755847176, 0.12469295099473751
0.0134, -91.1500185076328, -104.9000553505347, 11.626908644078437, -104.9000553505347, 0.0, -0.021522056006553353, 1.5227365207503076, -0.003691987850468808, 0.0, 3.505, 0.5772747435040444, 0.0, 1.7965242242262796, 0.1199488682067352
0.0135, -203.688422744043, -211.99838148553403, 11.013928041723695, -211.99838148553403, 0.0, -0.026284998985195922, 1.5274142724974942, -0.0031235165418217067, 0.0, 3.505, 0.5815827639779552, 0.0, 2.0400223161652105, 0.11284220333342972
0.0136, 55.37015250226161, 52.6031076599819, 11.902669200681057, 52.6031076599819, 0.0, -0.03124746180564518, 1.532527993103613, -0.002952083474054233, 0.0, 3.505, 0.5858907844518659, 0.0, 2.1255752215787775, 0.11082025808492074
0.0137, 172.66693537708628, 169.94998430534747, 11.793300536165034, 169.94998430534747, 0.0, -0.023641268944049817, 1.5248899662461104, -0.002575291377623643, 0.0, 3.505, 0.5901988049257767, 0.0, 2.3111211316726425, 0.10653850426491819
0.0138, -99.45807896046462, -100.20269788936038, 12.164837045023614, -100.20269788936038, 0.0, -0.023003222923507538, 1.5243162718863763, -0.0025148260968745153, 0.0, 3.505, 0.5945068253996875, 0.0, 2.349337027612949, 0.10592491580745028
0.0139, -62.5465013015654, -67.26180114756892, 12.345188117602039, -67.26180114756892, 0.0, -0.028390042413144412, 1.5297533789365712, -0.0022428051553050683, 0.0, 3.505, 0.5988148458735982, 0.0, 2.4947020784129794, 0.10304019758549202
0.014, 39.956146678104446, 33.53320270630571, 12.947686506943374, 33.53320270630571, 0.0, -0.02598959838008188, 1.527438300979764, -0.00191346787215895, 0.0, 3.505, 0.603122866347509, 0.0, 2.6782086618440504, 0.0996854026072527
0.0141, -58.3488822410289, -61.86623429358694, 12.87940832882924, -61.86623429358694, 0.0, -0.02648227693792687, 1.527889269515517, -0.0015921874490690943, 0.0, 3.505, 0.6074308868214197, 0.0, 2.8675900678221646, 0.09656630137176202
0.0142, -154.6294151809257, -161.22688018962825, 13.426019460587604, -161.22688018962825, 0.0, -0.028775552289845876, 1.5302885589765234, -0.001392475767695667, 0.0, 3.505, 0.6117389072953304, 0.0, 2.992633863358174, 0.09475026115230166
0.0143, -169.03480893998713, -174.5565212882986, 13.517534110394799, -174.5565212882986, 0.0, -0.03386528766996286, 1.5353755113272578, -8.915045645510535E-4, 0.0, 3.505, 0.6160469277692412, 0.0, 3.316685657783562, 0.09021337900299871
0.0144, 45.75375462903447, 45.45799753723781, 13.721698146934404, 45.45799753723781, 0.0, -0.03684636990906379, 1.5383934420514207, -6.676616316419861E-4, 0.0, 3.505, 0.620354948243152, 0.0, 3.472494616255167, 0.08837127765272682
0.0145, 36.05313318637043, 35.41015361330907, 14.27130877759883, 35.41015361330907, 0.0, -0.0316807068056955, 1.5333563842816968, -3.749011442082418E-4, 0.0, 3.505, 0.6246629687170627, 0.0, 3.68344007273802, 0.08600168433686761
0.0146, -261.48207522583095, -266.5637704513517, 14.666640272460295, -266.5637704513517, 0.0, -0.0351249596008954, 1.5367946963684969, -2.0515740241352248E-4, 0.0, 3.505, 0.6289709891909735, 0.0, 3.810360558150668, 0.08475116482496048
0.0147, -118.09244622065194, -126.3595045506177, 14.616357459757008, -126.3595045506177, 0.0, -0.044165556246330846, 1.5458504517691678, 3.460853848939216E-4, 0.0, 3.505, 0.6332790096648843, 0.0, 4.245879457278397, 0.080469822244874
0.0148, 53.89536951315647, 52.12019117350755, 14.780771363567172, 52.12019117350755, 0.0, -0.04076345856824457, 1.542457998917078, 7.951661234106207E-4, 0.0, 3.505, 0.637587030138795, 0.0, 4.63118349164081, 0.07722400797741329
0.0149, 37.30039732483784, 38.053528894784776, 15.637455672094356, 38.053528894784776, 0.0, -0.04159224190599592, 1.5434288564538545, 9.92446943555074E-4, 0.0, 3.505, 0.6418950506127058, 0.0, 4.8056622937741755, 0.07597952235054724
