phi0,  phi, <alpha>,zeta,  lindemannParameter,    x-link,    kT/E_Before_Conversion,kT/E,      ,,, , , 
0.01132,0.576886026583871,3.709,0.577604459255783,0.148387383524778,0.0004533,0.000378179067788598,0.378179067788598,,,,,,
0.01166,0.575997035765696,3.67,0.576682258307654,0.14917904338118,0.0004782,0.000358487184083169,0.358487184083169,,,,,,
0.01201,0.576021050595021,3.634,0.576675657193516,0.146686879855441,0.0005031,0.000340744526791038,0.340744526791038,,,,,,
0.01226,0.571746524627966,3.6,0.572345858731244,0.148054826871108,0.000528,0.000324675324675324,0.324675324675324,,,,,,
0.01256,0.570262333560887,3.568,0.570832745860168,0.149294379814074,0.0005529,0.000310053484226029,0.310053484226029,,,,,,
0.01295,0.57309839918077,3.538,0.573668813974212,0.147820005287685,0.0005778,0.000296691885476932,0.296691885476932,,,,,,
0.0132,0.570051046170028,3.509,0.570576651931047,0.149717705713205,0.0006027,0.000284434331223779,0.284434331223779,,,,,,
0.01352,0.570330528721011,3.482,0.570823934471022,0.146157982492889,0.0006276,0.000273149412728763,0.273149412728763,,,,,,
0.01386,0.57162517416441,3.455,0.572109959908826,0.145243375091089,0.0006525,0.000262725779967159,0.262725779967159,,,,,,
0.01414,0.570584433901688,3.431,0.571120351393127,0.148525173689735,0.0006774,0.000253068455017082,0.253068455017082,,,,,,
0.01439,0.568715452032371,3.407,0.569179296965197,0.148309812521425,0.0007023,0.000244095929700372,0.244095929700372,,,,,,
0.01465,0.567452546944464,3.384,0.567879527794994,0.148601482888183,0.0007272,0.000235737859500236,0.235737859500236,,,,,,
0.01489,0.565626662613493,3.362,0.566037279400426,0.147904249608252,0.0007521,0.000227933215567838,0.227933215567838,,,,,,
0.01515,0.564765408322869,3.341,0.565163426184946,0.148791740604031,0.000777,0.000220628792057363,0.220628792057363,,,,,,
0.0155,0.56736446791114,3.321,0.567764670852194,0.146377511831808,0.0008019,0.000213777991555769,0.213777991555769,,,,,,
0.01566,0.563200596949179,3.301,0.563572499743491,0.14908964283815,0.0008268,0.000207339829981339,0.207339829981339,,,,,,
0.01602,0.566325753641962,3.282,0.566726630335011,0.149666557292579,0.0008517,0.000201278116036834,0.201278116036834,,,,,,
0.01621,0.563622420637786,3.264,0.563982502211689,0.147016660599527,0.0008766,0.000195560770509436,0.195560770509436,,,,,,
0.01644,0.562467644509173,3.247,0.562809780388633,0.147291991012453,0.0009015,0.000190159258378892,0.190159258378892,,,,,,
0.01678,0.565152622026126,3.23,0.565489934614838,0.145624671267218,0.0009264,0.000185048112509252,0.185048112509252,,,,,,
0.01692,0.561211058508417,3.213,0.561552176648808,0.149385177304849,0.0009513,0.000180204532143983,0.180204532143983,,,,,,
0.0033,0.775305209926385,6.26,0.809594392979375,0.147854041723355,0.00003175,0.0053993250843644,5.3993250843644,,,,,,
0.00336,0.767638891234654,6.193,0.798405261648595,0.146781075675998,0.0000335,0.0051172707889125,5.1172707889125,,,,,,
0.00342,0.760072284115982,6.131,0.78840400435581,0.147898100186834,0.00003525,0.0048632218844984,4.8632218844984,,,,,,
0.00347,0.751649775062726,6.072,0.777198018121675,0.147588877956504,0.000037,0.0046332046332046,4.6332046332046,,,,,,
0.00351,0.741888962761441,6.017,0.764838924853148,0.147693459233091,0.00003875,0.0044239631336405,4.4239631336405,,,,,,
0.00358,0.738239290021015,5.965,0.75986323912155,0.146515812182608,0.0000405,0.0042328042328042,4.2328042328042,,,,,,
0.00364,0.733286938373122,5.915,0.753405505313902,0.145417925440429,0.00004225,0.0040574809805579,4.0574809805579,,,,,,
0.00371,0.730754111495167,5.867,0.749585533497025,0.140344521450306,0.000044,0.0038961038961038,3.8961038961038,,,,,,
0.00373,0.719107327244042,5.822,0.736353674900461,0.148020172355515,0.00004575,0.0037470725995316,3.7470725995316,,,,,,
0.0038,0.717102282273178,5.779,0.733620010585428,0.147544491183692,0.0000475,0.0036090225563909,3.6090225563909,,,,,,
0.00387,0.715446282339886,5.738,0.731241913973287,0.147693431044554,0.00004925,0.0034807831762146,3.4807831762146,,,,,,
0.00391,0.709059660387652,5.698,0.723630414253441,0.146505318739134,0.000051,0.0033613445378151,3.3613445378151,,,,,,
0.00397,0.706106313287578,5.66,0.720154134946759,0.14873173212542,0.00005275,0.0032498307379823,3.2498307379823,,,,,,
