#phi0, phi, alpha, zeta, lindemannParameter, xlink, kT/E_Before_Conversion, kT/E
0.01007, 0.557035569806419, 3.81060310185185, 0.557132663186065, 0.147950578491587, 0.0006525, 0.000262726403299444, 0.262726403299444
0.01033, 0.559003261547812, 3.7827780462963, 0.559085756747835, 0.149423709788693, 0.0006774, 0.000253068522438052, 0.253068522438052
0.01057, 0.559981289888659, 3.75609859259259, 0.560081435641992, 0.149356211254643, 0.0007023, 0.000244095992922096, 0.244095992922096
0.01077, 0.559051330739337, 3.73056609259259, 0.559130880449846, 0.145741275199516, 0.0007272, 0.000235738215364921, 0.235738215364921
0.01093, 0.556242437393075, 3.70601872222222, 0.556340906667206, 0.148176475352394, 0.0007521, 0.000227933380732266, 0.227933380732267
0.01117, 0.55772533674994, 3.6825330462963, 0.557802297027788, 0.149202730449176, 0.000777, 0.000220629269060681, 0.220629269060681
0.01139, 0.558284978237097, 3.6598640462963, 0.558367618543972, 0.148126459143658, 0.0008019, 0.000213777997484126, 0.213777997484126
0.01156, 0.556561100280449, 3.63806869444445, 0.556638215471697, 0.149197489427062, 0.0008268, 0.000207340338726229, 0.207340338726229
0.01168, 0.552652389492564, 3.61701124074074, 0.552726791551575, 0.14711683877319, 0.0008517, 0.000201278343404932, 0.201278343404932
0.01189, 0.553165750111604, 3.59668485185185, 0.553249418532213, 0.149745121016443, 0.0008766, 0.000195560996247757, 0.195560996247757
0.0121, 0.553795725976947, 3.57709085185185, 0.553865539914381, 0.149833219639803, 0.0009015, 0.000190159473473263, 0.190159473473263
0.01226, 0.552243778095287, 3.55809862962963, 0.552311905218674, 0.1481545487227, 0.0009264, 0.000185048448671512, 0.185048448671512
0.01234, 0.547280889724405, 3.53969738888889, 0.547358043688537, 0.149888221758421, 0.0009513, 0.000180205376714967, 0.180205376714967
0.00185, 0.798671318105084, 7.69810848148149, 0.800292255271387, 0.144247437830543, 0.000020417, 0.0083966054932968, 8.3966054932968
0.00186, 0.793377667747894, 7.66145700000001, 0.794959820938063, 0.146561864348956, 0.000020834, 0.0082356615200334, 8.2356615200334
0.00187, 0.788220302281858, 7.6271342037037, 0.789827594431643, 0.149659745784908, 0.000021251, 0.0080671773223083, 8.0671773223083
0.00189, 0.787512773030609, 7.59647917592593, 0.789063430640676, 0.149699417473596, 0.000021668, 0.0079128587773363, 7.9128587773363
0.00192, 0.790962868891786, 7.56712013888888, 0.792514408451347, 0.145036211784017, 0.000022085, 0.0077625223916777, 7.7625223916777
0.00193, 0.786317507952877, 7.53373269444446, 0.787790677988112, 0.144858918168419, 0.000022502, 0.007619735244243, 7.619735244243
0.00193, 0.777850139404285, 7.50059592592593, 0.779200018731776, 0.147288497462804, 0.000022919, 0.0074819778584633, 7.4819778584633
0.00196, 0.781316637939757, 7.47545279629631, 0.78283738747945, 0.149077642432228, 0.000023336, 0.007348772013103, 7.348772013103
0.00198, 0.781065736449831, 7.44559768518519, 0.782503929377009, 0.142569770456845, 0.000023753, 0.0072173768851036, 7.2173768851036
0.00198, 0.773124155821577, 7.41645149074075, 0.774413563933748, 0.147760266987825, 0.00002417, 0.0070936175516258, 7.0936175516258
0.00198, 0.765354402256883, 7.3834412962963, 0.766544358147418, 0.143901925590217, 0.000024587, 0.0069723448447066, 6.9723448447066
0.00201, 0.769120324755552, 7.36190465740741, 0.770384791509525, 0.148893878653237, 0.000025004, 0.0068573389497675, 6.8573389497675
0.00201, 0.761608148188992, 7.33133713888889, 0.762813694054667, 0.147875848834069, 0.000025421, 0.0067435856380081, 6.7435856380081
0.00204, 0.765497218423855, 7.30897551851852, 0.766713252661806, 0.146229292221414, 0.000025838, 0.0066349602766433, 6.6349602766433
0.00205, 0.761974259328427, 7.28452627777778, 0.76314342244417, 0.148270567871934, 0.000026255, 0.0065327358424891, 6.5327358424891
0.00207, 0.762171309439728, 7.2594860925926, 0.763371530012511, 0.145465662379465, 0.000026672, 0.0064275175064118, 6.4275175064118
0.00208, 0.758819477178046, 7.23507630555555, 0.759990067680037, 0.148230729668815, 0.000027089, 0.0063285033203231, 6.3285033203231
0.00209, 0.755555771490459, 7.21206475925926, 0.75671106766994, 0.149979459929979, 0.000027506, 0.0062347257376885, 6.2347257376885
0.00211, 0.755969491161349, 7.18805640740741, 0.757120660128817, 0.146290267190754, 0.000027923, 0.006140713357715, 6.140713357715
0.00213, 0.756459521881253, 7.16591814814815, 0.757563159516282, 0.144510820059537, 0.00002834, 0.0060490334674536, 6.0490334674536
0.00213, 0.749879390826858, 7.14245188888889, 0.750987194571751, 0.148295069858784, 0.000028757, 0.0059615645091273, 5.9615645091273
